season,week,team,off_ypp,off_epa,off_success_rt,off_explosiveness,off_third_conv_rate,off_fourth_conv_rate,off_pass_ypa,off_pass_ypc,off_rush_ypa,off_pts_per_opp,off_turnovers,off_plays_pg,off_ppg,def_ypp,def_epa,def_success_rt,def_explosiveness,def_third_conv_rate,def_fourth_conv_rate,def_pass_ypa,def_pass_ypc,def_rush_ypa,def_pts_per_opp,def_plays_pg,def_ppg,st_net_epa,st_punt_return_yds,st_kick_return_yds,st_kick_return_TDs,st_punt_return_TDs,fg_rate,fg_made_pg,xp_rate,xp_made_pg,st_punt_return_yds_allowed,st_kick_return_yds_allowed,st_kick_return_TDs_allowed,st_punt_return_TDs_allowed,fg_rate_allowed,fg_made_pg_allowed,xp_rate_allowed,xp_made_pg_allowed,net_st_ppg,def_turnovers,net_punt_return_yds,net_kick_return_yds,net_punt_return_TDs,net_kick_return_TDs,net_fg_rate,net_fg_made_pg,net_xp_rate,net_xp_made_pg,off_ppg_aboveavg,def_ppg_aboveavg,off_ppg_adj,def_ppg_adj,Rank_off_ypp,Rank_off_epa,Rank_off_success_rt,Rank_off_explosiveness,Rank_off_third_conv_rate,Rank_off_fourth_conv_rate,Rank_off_pass_ypa,Rank_off_pass_ypc,Rank_off_rush_ypa,Rank_off_pts_per_opp,Rank_off_turnovers,Rank_off_ppg,Rank_def_ypp,Rank_def_epa,Rank_def_success_rt,Rank_def_explosiveness,Rank_def_third_conv_rate,Rank_def_fourth_conv_rate,Rank_def_pass_ypa,Rank_def_pass_ypc,Rank_def_rush_ypa,Rank_def_pts_per_opp,Rank_def_turnovers,Rank_def_ppg,Rank_net_st_epa,Rank_net_punt_return_yds,Rank_net_punt_return_TDs,Rank_net_kick_return_yds,Rank_net_kick_return_TDs,Rank_net_xp_rate,Rank_net_xp_made_pg,Rank_net_st_ppg,VoA_Output,OffVoA_MeanRating,OffVoA_MedRating,OffVoA_95PctRating,OffVoA_05PctRating,DefVoA_MeanRating,DefVoA_MedRating,DefVoA_95PctRating,DefVoA_05PctRating,STVoA_MeanRating,STVoA_MedRating,STVoA_95PctRating,STVoA_05PctRating,VoA_Rating_Ovr,VoA_Rating_05Pct,VoA_Rating_95Pct,VoA_Ranking_Ovr,OffVoA_Ranking,DefVoA_Ranking,STVoA_Ranking
2024,19,BUF,6.141395348837207,0.19754771300641907,0.4669767441860465,1.1548722509019478,0.3991769547325103,0.15517241379310345,7.353463587921846,12.063037249283667,4.80859375,2.6353591160220993,0.5,59.72222222222222,21.88888888888889,5.556577736890528,-0.013025452557351417,0.43146274149034036,1.1332958711758703,0.38626609442060084,0.15254237288135594,6.234375,10.387804878048783,4.586129753914989,1.8895027624309393,60.388888888888886,14.555555555555555,-0.05709018897467205,6.471698113207547,8.39506172839506,0,0,0.84375,1.5,0.9242424242424242,3.388888888888889,3.8035714285714284,7.1454545454545455,0.05555555555555555,0,1,1.1111111111111112,0.9761904761904762,2.2777777777777777,1.9444444444444444,0.08333333333333333,2.668126684636119,1.2496071829405144,0,-0.05555555555555555,-0.15625,0.38888888888888884,-0.051948051948051965,1.1111111111111112,7.20608660130719,-0.2001633986928102,25.491932189542485,14.555555555555555,5,2,7,5,7,4,5,5,9,2,1,3,20,10,16,29,23,31,18,6,16,17,3,16,11,3,4,12,4,29,4,4,10.34375,25.086929289427026,25.080739445924323,28.529163723697867,21.656829524856462,15.074995508285992,15.074477472906601,18.715948398900125,11.442299379452379,1.9444444444444442,1.9444444444444442,1.9444444444444517,1.9444444444444366,11.950706417462166,12.158974589848519,11.757659769242194,3,2,15,4
2024,19,KC,5.240411599625821,0.07000679549633174,0.4752104770813845,0.9629110864789708,0.4530612244897959,0.1016949152542373,5.897035881435261,10.014851485148517,4.257009345794391,2.011764705882353,0.8823529411764706,62.88235294117647,14.470588235294118,5.357212953876353,0.011222999286774787,0.43473994111874387,1.0707891602197248,0.3940677966101695,0.1,6.138613861386139,10.586666666666666,4.2106537530266355,1.7857142857142858,59.94117647058823,13.176470588235293,-0.0895846081238059,5.116666666666666,10.328947368421053,0,0,0.8648648648648649,1.8823529411764706,0.9487179487179487,2.176470588235294,4.080645161290323,8.517241379310342,0,0,1,1.411764705882353,0.8571428571428571,1.7647058823529411,1.8235294117647058,0.051075268817204304,1.0360215053763433,1.8117059891107115,0,0,-0.1351351351351351,0.47058823529411753,0.09157509157509158,0.4117647058823528,-0.21221405228758172,-1.579248366013072,14.470588235294118,13.176470588235293,21,9,6,30,3,17,21,27,24,10,6,11,10,15,17,14,26,15,14,9,5,13,10,9,15,10,4,10,3,1,10,7,12.5625,15.524403149006766,15.532042641069866,19.022435630214293,12.007945318433416,13.741271394197137,13.736752393548521,17.278637642736108,10.244759877845397,1.8235294117647043,1.8235294117647043,1.823529411764712,1.8235294117646967,3.6188196592860495,3.586714852352716,3.567327399242897,11,13,10,8
2024,19,NO,5.3148148148148175,-0.0568752017925953,0.40058479532163743,1.085259205203913,0.3220338983050847,0.1079136690647482,5.905245346869708,10.97058823529412,4.512643678160919,1.721311475409836,1,60.35294117647059,12.823529411764707,5.875,0.04385071931194424,0.4420289855072464,1.1009054134177654,0.3786008230452675,0.10144927536231885,6.4224683544303804,11.734972677595627,5.141949152542373,1.875,64.94117647058823,14.117647058823529,-0.022308870660738542,5.101694915254238,10.706521739130434,0,0.11764705882352941,0.8709677419354839,1.588235294117647,0.9393939393939394,1.8235294117647058,2.84,18.772151898734176,0,0,1,1.9411764705882353,0.9459459459459459,2.0588235294117645,-0.5882352941176471,0.051075268817204304,2.261694915254238,-8.065630159603742,0.11764705882352941,0,-0.12903225806451613,-0.3529411764705883,-0.006552006552006495,-0.23529411764705865,-1.859272875816993,-0.6380718954248366,12.823529411764707,14.117647058823529,18,25,24,15,27,14,20,15,14,21,7,19,28,25,24,22,22,16,25,27,31,15,10,14,7,4,1,32,3,18,19,19,18.15625,12.976394318249634,12.971659098425487,15.90121095958879,10.077037111528512,15.749957243053377,15.740246003766078,19.202287685295044,12.296038643566334,-0.588235294117647,-0.5882352941176484,-0.588235294117633,-0.5882352941176578,-3.3568221994582395,-2.80723682615548,-3.8893120198238873,21,22,20,21
2024,19,CLE,4.575379125780549,-0.18331938955521823,0.3568242640499554,1.0861687346480173,0.26022304832713755,0.14634146341463414,4.790190735694819,9.820253164556965,4.1679586563307485,1.1940298507462686,1.8823529411764706,65.94117647058823,10.117647058823529,5.778437190900102,0.01744670086315355,0.4065281899109792,1.2110127452561246,0.3389121338912134,0.05555555555555555,6.589416058394159,12.272151898734176,4.818574514038876,1.7714285714285714,59.470588235294116,16.941176470588236,-0.11349672080132367,5.294117647058822,11.186813186813188,0,0,0.6666666666666666,1.0588235294117647,0.8571428571428571,1.0588235294117647,5.955056179775281,10.9375,0.058823529411764705,0.058823529411764705,1,1.2941176470588236,0.9807692307692307,3,-3.3529411764705883,0.03763440860215054,-0.6609385327164592,0.24931318681318793,-0.058823529411764705,-0.058823529411764705,-0.33333333333333337,-0.23529411764705888,-0.12362637362637363,-1.9411764705882353,-4.5651552287581705,2.18545751633987,10.117647058823529,18.033905228758172,31,32,32,14,32,6,32,29,27,32,22,27,27,18,5,32,10,1,28,32,25,12,15,23,24,23,6,15,5,31,29,26,21.96875,8.431872335818618,8.440368258924803,11.793718596493164,5.080406951629326,15.045903138577856,15.052853280836839,18.83663458961882,11.2522313130972,-3.352941176470589,-3.3529411764705888,-3.3529411764705808,-3.3529411764705985,-9.965426198382625,-9.524765537938471,-10.395857169596237,30,32,14,31
2024,19,SEA,5.560903732809429,-0.029842436537466422,0.4302554027504912,1.0443210458908168,0.3333333333333333,0.07633587786259542,6.203703703703703,10.602905569007266,4.435135135135135,1.7052631578947368,1.2941176470588236,59.88235294117647,13.411764705882353,5.373106060606059,-0.011866435561123156,0.4251893939393939,1.0280703993743383,0.3401639344262295,0.07246376811594203,5.8585365853658535,10.59299191374663,4.696145124716555,1.7295918367346939,62.11764705882353,13.294117647058824,-0.10397397912463752,2.2962962962962963,12.52941176470588,0.058823529411764705,0,0.8666666666666667,1.5294117647058822,0.925,2.176470588235294,3.736842105263158,12.953488372093025,0.058823529411764705,0,1,1.7058823529411764,0.9705882352941176,1.9411764705882353,-0.29411764705882354,0.053763440860215055,-1.4405458089668617,-0.4240766073871445,0,0,-0.1333333333333333,-0.17647058823529416,-0.045588235294117596,0.23529411764705865,-1.2710375816993462,-1.4616013071895413,13.411764705882353,13.294117647058824,13,20,15,23,21,23,15,20,16,22,13,17,12,11,12,7,12,3,6,10,22,8,9,10,21,26,4,17,3,28,12,18,14.65625,12.443058164915948,12.443668686031625,15.418607681157662,9.486868146587431,13.231702517121528,13.227557426870536,16.56813382640098,9.887336461028248,-0.29411764705882304,-0.29411764705882315,-0.2941176470588154,-0.29411764705883026,-1.0780063878977344,-0.6945859614996468,-1.4436437923021348,18,24,9,20
2024,19,PHI,5.711923411662314,0.11068154339522074,0.4290687554395126,1.1909973240063096,0.3861003861003861,0.14084507042253522,6.424418604651161,11.544303797468354,5.131121642969983,2.2422680412371134,0.7777777777777778,63.833333333333336,18.666666666666668,4.7776726584673606,-0.09626218892725875,0.3926206244087039,1.0392814919025022,0.3319838056680162,0.14285714285714285,5.083601286173634,9.74229691876751,4.340229885057473,1.4680851063829787,58.72222222222222,11.11111111111111,-0.09314172682009783,3.884057971014493,11.794871794871796,0,0,0.7948717948717948,1.7222222222222223,0.96,2.6666666666666665,3.4166666666666665,8.961165048543693,0,0,1,1.4444444444444444,0.8846153846153846,1.2777777777777777,2.2222222222222223,0.08333333333333333,0.4673913043478266,2.8337067463281027,0,0,-0.20512820512820518,0.2777777777777779,0.07538461538461538,1.3888888888888888,3.9838643790849684,-3.644607843137255,20.658598856209153,11.11111111111111,11,6,16,2,10,7,13,10,4,7,4,7,1,1,3,9,7,29,1,1,8,1,3,2,19,12,4,7,3,2,3,3,6.75,21.190686582485917,21.190426269411965,24.706402847641115,17.67457416769775,9.610886227993504,9.606000614180752,13.232528889868721,5.975597987820548,2.2222222222222214,2.2222222222222214,2.22222222222223,2.2222222222222143,13.806647877453434,13.921198402099416,13.696096179994624,2,7,1,3
2024,19,IND,5.5183752417794985,-0.056828242218978135,0.3994197292069632,1.1680979292385099,0.36086956521739133,0.12056737588652482,6.166972477064219,12.453287197231834,4.795501022494887,1.7783505154639174,1.7058823529411764,60.8235294117647,14.235294117647058,5.606915377616014,0.004307488041538006,0.43039126478616924,1.0914442623510205,0.4126984126984127,0.08870967741935484,6.717728055077453,10.957671957671959,4.36100386100386,1.8883248730964468,64.6470588235294,16.235294117647058,-0.148024527216287,4.196721311475409,6.851063829787233,0,0,0.8378378378378378,1.8235294117647058,1,2.1176470588235294,5.955882352941178,5.136363636363634,0.058823529411764705,0,1,1.7647058823529411,1,2.5294117647058822,-0.5882352941176471,0.06720430107526881,-1.7591610414657692,1.7147001934235986,0,-0.058823529411764705,-0.16216216216216217,0.05882352941176472,0,-0.4117647058823528,-0.4475081699346415,1.4795751633986924,14.235294117647058,16.531209150326795,16,24,25,4,13,10,16,4,10,19,21,14,21,13,14,20,29,10,29,19,10,16,5,22,27,28,4,11,5,15,21,19,16.0625,14.80689177141768,14.81391776500466,17.912741563880555,11.680162440178076,15.1627959950549,15.169438330909768,18.72803310688994,11.614312694924786,-0.58823529411765,-0.5882352941176513,-0.5882352941176371,-0.58823529411766,-0.9437558600227592,-0.5223855488643697,-1.4035268371270204,17,15,16,22
2024,19,MIA,5.150557620817846,-0.0389293315391862,0.43215613382899626,1.0285275439532746,0.33189655172413796,0.11029411764705882,5.8913385826771645,9.77239709443099,4.083900226757369,1.7967032967032968,1.1764705882352942,63.294117647058826,12.235294117647058,5.361,-0.021976469952547276,0.423,1.0197821067145962,0.3191489361702128,0.07352941176470588,5.946932006633498,10.49041095890411,4.4710327455919385,1.7142857142857142,58.8235294117647,12.352941176470589,-0.013292182625695564,3.9411764705882355,9.096385542168678,0,0,0.9024390243902439,2.176470588235294,0.9285714285714286,1.5294117647058822,4.035087719298245,4.931034482758622,0,0,1,2.1176470588235294,0.967741935483871,1.7647058823529411,-0.058823529411764705,0.0456989247311828,-0.09391124871000933,4.165351059410056,0,0,-0.09756097560975607,0.0588235294117645,-0.03917050691244239,-0.23529411764705888,-2.4475081699346415,-2.402777777777777,12.235294117647058,12.352941176470589,24,21,14,25,22,13,22,30,31,16,10,21,11,9,10,6,3,4,8,8,12,6,12,4,4,17,4,4,3,27,20,16,13.65625,14.136010744655966,14.135159976177743,17.147578127706392,11.145484912035286,12.519680877949694,12.513005557760286,15.923607975895374,9.145815570260407,-0.05882352941176528,-0.05882352941176534,-0.058823529411757766,-0.05882352941177257,1.5633308890056918,1.940845812363107,1.1651466223992606,14,18,5,17
2024,19,DET,6.353958143767062,0.1697970916433584,0.4986351228389445,1.1285311648660243,0.4434389140271493,0.2018348623853211,7.690721649484537,11.824561403508774,4.849129593810444,2.7032967032967035,0.8823529411764706,64.6470588235294,24.11764705882353,5.753208292201381,-0.06176273779347664,0.40868706811451133,1.1015019600236198,0.2898550724637681,0.0916030534351145,6.394453004622494,11.80697050938338,4.60989010989011,1.723756906077348,59.588235294117645,12.823529411764707,-0.18513988705708084,8.11864406779661,5.814814814814814,0,0.058823529411764705,0.896551724137931,1.5294117647058822,0.9552238805970149,3.764705882352941,3,6.790909090909091,0,0,1,1.6470588235294117,0.9696969696969697,1.8823529411764706,1.8823529411764706,0.06451612903225806,5.118644067796611,-0.976094276094277,0.058823529411764705,0,-0.10344827586206895,-0.11764705882352944,-0.014473089099954817,1.8823529411764706,9.43484477124183,-1.932189542483659,28.835069444444443,12.823529411764707,2,3,1,8,4,1,2,8,6,1,6,1,26,6,7,23,1,13,24,29,18,7,6,6,29,1,2,21,3,19,1,6,9.09375,26.179373543815217,26.177672457618492,29.36778560953953,22.994749815791234,12.37245645555729,12.382516246711532,16.164883871875816,8.565868307759542,1.8823529411764717,1.8823529411764715,1.8823529411764803,1.882352941176463,15.67750915208343,16.311234449208154,15.085254678840196,1,1,4,7
2024,19,LAC,5.525665399239544,0.010851564895418685,0.4068441064638783,1.1473106587170163,0.3724696356275304,0.07042253521126761,6.518644067796608,11.83714285714286,4.257575757575759,1.9035532994923858,0.6666666666666666,58.44444444444444,14,5.441095890410956,-0.06375817948808778,0.42100456621004567,1.0002758140119767,0.33203125,0.1342281879194631,5.821263482280432,10.395886889460154,4.887892376681615,1.523076923076923,60.833333333333336,11,-0.006637310023945714,3.415584415584415,8.111111111111109,0,0,0.9318181818181818,2.2777777777777777,0.8918918918918919,1.8333333333333333,3.6103896103896105,7.867346938775509,0,0,1,1.7222222222222223,1,1.7777777777777777,1.7222222222222223,0.06451612903225806,-0.19480519480519565,0.24376417233559966,0,0,-0.06818181818181823,0.5555555555555554,-0.10810810810810811,0.05555555555555558,-0.6828022875816995,-3.7557189542483655,14,11,14,15,21,6,11,28,10,7,23,14,3,16,13,5,9,2,8,26,5,7,28,2,6,1,3,19,4,16,3,30,15,8,11.8125,15.37884004893232,15.37566460835248,18.45459079208684,12.312677703245212,10.577960161027553,10.5766854541302,14.098387092445375,7.078909831548574,1.7222222222222248,1.722222222222225,1.7222222222222328,1.722222222222216,6.521201376444505,6.955990093918854,6.0784259218636985,7,14,2,9
