season,week,team,off_ypp,off_epa,off_success_rt,off_explosiveness,off_third_conv_rate,off_fourth_conv_rate,off_pass_ypa,off_pass_ypc,off_rush_ypa,off_pts_per_opp,off_turnovers,off_plays_pg,off_ppg,def_ypp,def_epa,def_success_rt,def_explosiveness,def_third_conv_rate,def_fourth_conv_rate,def_pass_ypa,def_pass_ypc,def_rush_ypa,def_pts_per_opp,def_plays_pg,def_ppg,st_net_epa,st_punt_return_yds,st_kick_return_yds,st_kick_return_TDs,st_punt_return_TDs,fg_rate,fg_made_pg,xp_rate,xp_made_pg,st_punt_return_yds_allowed,st_kick_return_yds_allowed,st_kick_return_TDs_allowed,st_punt_return_TDs_allowed,fg_rate_allowed,fg_made_pg_allowed,xp_rate_allowed,xp_made_pg_allowed,net_st_ppg,def_turnovers,net_punt_return_yds,net_kick_return_yds,net_punt_return_TDs,net_kick_return_TDs,net_fg_rate,net_fg_made_pg,net_xp_rate,net_xp_made_pg,off_ppg_aboveavg,def_ppg_aboveavg,off_ppg_adj,def_ppg_adj,Rank_off_ypp,Rank_off_epa,Rank_off_success_rt,Rank_off_explosiveness,Rank_off_third_conv_rate,Rank_off_fourth_conv_rate,Rank_off_pass_ypa,Rank_off_pass_ypc,Rank_off_rush_ypa,Rank_off_pts_per_opp,Rank_off_turnovers,Rank_off_ppg,Rank_def_ypp,Rank_def_epa,Rank_def_success_rt,Rank_def_explosiveness,Rank_def_third_conv_rate,Rank_def_fourth_conv_rate,Rank_def_pass_ypa,Rank_def_pass_ypc,Rank_def_rush_ypa,Rank_def_pts_per_opp,Rank_def_turnovers,Rank_def_ppg,Rank_net_st_epa,Rank_net_punt_return_yds,Rank_net_punt_return_TDs,Rank_net_kick_return_yds,Rank_net_kick_return_TDs,Rank_net_xp_rate,Rank_net_xp_made_pg,Rank_net_st_ppg,VoA_Output,OffVoA_MeanRating,OffVoA_MedRating,OffVoA_95PctRating,OffVoA_05PctRating,DefVoA_MeanRating,DefVoA_MedRating,DefVoA_95PctRating,DefVoA_05PctRating,STVoA_MeanRating,STVoA_MedRating,STVoA_95PctRating,STVoA_05PctRating,VoA_Rating_Ovr,VoA_Rating_05Pct,VoA_Rating_95Pct,VoA_Ranking_Ovr,OffVoA_Ranking,DefVoA_Ranking,STVoA_Ranking
2024,16,BUF,6.270454545454541,0.20884700158737524,0.4681818181818182,1.1904503344950232,0.38071065989847713,0.15625,7.377637130801688,12.10204081632653,4.977832512315269,2.6447368421052633,0.6,58.666666666666664,22.133333333333333,5.626077586206901,0.0016239318580579204,0.42995689655172414,1.1597297647466887,0.4020100502512563,0.16161616161616163,6.3040293040292985,10.438746438746437,4.657068062827228,1.9803921568627452,61.86666666666667,15.333333333333334,-0.08039275780311789,6.5348837209302335,6.6811594202898545,0,0,0.8148148148148148,1.4666666666666666,0.9298245614035088,3.533333333333333,3.375,7.526881720430105,0.06666666666666667,0,1,1.1333333333333333,0.9743589743589743,2.533333333333333,1.6,0.07258064516129033,3.1598837209302335,-0.8457223001402507,0,-0.06666666666666667,-0.18518518518518523,0.33333333333333326,-0.04453441295546556,1,7.416666666666666,0.6166666666666671,25.841666666666665,15.456666666666667,4,2,7,5,10,5,5,6,6,2,2,2,20,14,15,29,28,31,18,6,21,20,3,16,15,3,3,18,4,25,6,8,11.21875,25.760440882148313,25.76431229988981,29.453349568963848,22.055049233262686,15.738661956981252,15.737845079669427,19.371361894995015,12.122451666336728,1.599999999999999,1.599999999999999,1.6000000000000056,1.5999999999999923,11.626467220220382,11.53259756692595,11.681987673968838,3,1,22,9
2024,16,KC,5.235414534288637,0.07273759851911443,0.4872057318321392,0.9381019519971276,0.47767857142857145,0.09900990099009901,5.843103448275867,9.939726027397263,4.347607052896725,2.0860927152317883,1,65.13333333333334,14.8,5.274285714285717,-0.010992122862060747,0.4205714285714286,1.096041642688879,0.36585365853658536,0.09433962264150944,6.050467289719627,10.564417177914113,4.052941176470589,1.7315436241610738,58.333333333333336,12.533333333333333,-0.08039381556579896,4.981481481481482,10.166666666666666,0,0,0.8857142857142857,2.066666666666667,0.9722222222222222,2.3333333333333335,4.596153846153846,8.75,0,0,1,1.4666666666666666,0.8275862068965517,1.6,2.533333333333333,0.0456989247311828,0.38532763532763603,1.416666666666666,0,0,-0.11428571428571432,0.6000000000000003,0.1446360153256705,0.7333333333333334,0.08333333333333393,-2.1833333333333336,14.816666666666668,12.533333333333333,19,9,4,32,1,16,21,27,21,10,7,8,8,10,9,22,20,12,12,10,3,8,9,6,16,12,3,10,3,1,8,4,11.28125,15.871351341805788,15.867416267821898,19.678047195959795,12.050625131912245,12.57519242389035,12.574271359832329,16.040571674389533,9.108127801161173,2.533333333333334,2.5333333333333337,2.5333333333333417,2.533333333333328,5.826478241322903,5.4758306640844,6.170808854903605,8,11,6,4
2024,16,NO,5.375824175824178,-0.0479590906544192,0.4032967032967033,1.0916657425167877,0.34615384615384615,0.10084033613445378,6.063116370808683,11.129251700680273,4.511166253101737,1.7668711656441718,1,60.666666666666664,13.733333333333333,5.8823529411764754,0.027742768105499648,0.4458204334365325,1.0766357006077503,0.34782608695652173,0.10483870967741936,6.413854351687389,11.790769230769232,5.1453201970443345,1.822085889570552,64.6,14,-0.01322430755293861,5.113207547169811,12.468354430379748,0,0.13333333333333333,0.8461538461538461,1.4666666666666666,0.9354838709677419,1.9333333333333333,2.784615384615384,18.91549295774648,0,0,1,1.8,0.96875,2.066666666666667,-0.3333333333333333,0.04838709677419355,2.328592162554427,-6.447138527366732,0.13333333333333333,0,-0.15384615384615385,-0.3333333333333335,-0.03326612903225812,-0.13333333333333353,-0.9833333333333343,-0.7166666666666668,13.733333333333333,14,17,23,21,13,18,15,17,13,13,19,7,10,28,24,26,16,15,16,22,28,31,14,8,10,5,4,1,31,3,19,17,16,16.25,13.257244264202244,13.247837166238135,16.39683366839423,10.140125361054125,15.775691511225844,15.770719977368671,19.217303324273384,12.326339219807533,-0.3333333333333276,-0.3333333333333283,-0.33333333333331955,-0.33333333333333337,-2.8562161444638643,-2.519547192086742,-3.1538029892124744,21,21,23,18
2024,16,CLE,4.663975782038349,-0.1546777798458017,0.36629667003027244,1.1004543334248729,0.25213675213675213,0.1643835616438356,4.8923076923076945,9.988668555240793,4.228739002932551,1.2542372881355932,1.8666666666666667,66.06666666666666,11.066666666666666,5.7573033707865156,0.014186619202940853,0.4067415730337079,1.208584438508553,0.33962264150943394,0.06349206349206349,6.532786885245903,12.35971223021583,4.8159203980099505,1.7741935483870968,59.333333333333336,16.8,-0.10765597004419206,5.95945945945946,10.728395061728396,0,0,0.64,1.0666666666666667,0.85,1.1333333333333333,6.0253164556962036,11.06779661016949,0.06666666666666667,0.06666666666666667,1,1.3333333333333333,0.9777777777777777,2.933333333333333,-3.4,0.03763440860215054,-0.0658569962367439,-0.33940154844109394,-0.06666666666666667,-0.06666666666666667,-0.36,-0.2666666666666666,-0.12777777777777777,-1.7999999999999998,-3.6500000000000004,2.083333333333334,11.066666666666666,17.84166666666667,31,31,31,11,31,2,31,26,24,30,18,19,26,17,6,32,10,2,28,32,24,11,12,20,18,15,4,17,4,29,29,27,20.25,9.703527505006374,9.703907182593728,13.312929401664066,6.125453076681822,14.8023504413514,14.799845775689345,18.451204447804443,11.12550465650362,-3.4000000000000004,-3.4000000000000004,-3.399999999999993,-3.400000000000007,-8.495938593095618,-8.400051579821806,-8.53827504614037,28,29,14,30
2024,16,SEA,5.527868852459013,-0.037772249003910706,0.4284153005464481,1.0483024135418781,0.32075471698113206,0.0847457627118644,6.194256756756756,10.627659574468087,4.306501547987616,1.7117647058823529,1.4,61,13.6,5.463519313304721,-0.0021757108998573397,0.4291845493562232,1.0328717236896774,0.3427230046948357,0.058823529411764705,5.99626168224299,10.591463414634145,4.7455919395466,1.7727272727272727,62.13333333333333,14.266666666666667,-0.11307086445187442,2.3472222222222228,13.48051948051948,0.06666666666666667,0,0.8518518518518519,1.5333333333333334,0.918918918918919,2.2666666666666666,3.5303030303030294,12.857142857142854,0.06666666666666667,0,1,1.6,0.9696969696969697,2.1333333333333333,-0.06666666666666667,0.04838709677419355,-1.1830808080808066,0.6233766233766254,0,0,-0.14814814814814814,-0.06666666666666665,-0.050778050778050754,0.1333333333333333,-1.1166666666666671,-0.4499999999999993,13.6,14.266666666666667,13,22,16,22,25,20,16,19,23,21,13,11,15,12,14,8,13,1,10,12,23,10,8,12,20,26,3,14,3,27,13,15,15,13.623386167300817,13.625285109979451,16.806949378161434,10.439596237425118,13.904558727752816,13.901112837702312,17.17100336601208,10.63821557144947,-0.06666666666666538,-0.06666666666666538,-0.06666666666665949,-0.06666666666667143,-0.3424943943895265,-0.2652860006910235,-0.4307206545173054,17,19,9,16
2024,16,PHI,5.78076525336091,0.11513399910567494,0.43743536711478803,1.2087249304685013,0.40825688073394495,0.14912280701754385,6.36890951276102,11.600760456273767,5.307835820895524,2.245398773006135,0.9333333333333333,64.46666666666667,19.2,4.797511312217199,-0.08223723800167966,0.3947963800904977,1.057288823587994,0.31862745098039214,0.14166666666666666,5.090909090909089,9.966555183946488,4.362359550561799,1.5379746835443038,58.93333333333333,12.133333333333333,-0.13953297436065243,4.033333333333334,10.304347826086959,0,0,0.7741935483870968,1.6,0.975609756097561,2.6666666666666665,3.1428571428571432,9.176470588235288,0,0,1,1.5333333333333334,0.8695652173913043,1.3333333333333333,1.5333333333333334,0.05913978494623656,0.8904761904761909,1.1278772378516706,0,0,-0.22580645161290325,0.06666666666666665,0.10604453870625663,1.3333333333333333,4.4833333333333325,-2.583333333333334,21.441666666666666,12.133333333333333,12,5,14,3,7,7,13,9,4,8,6,5,1,3,4,13,6,27,1,2,8,2,6,4,26,9,3,11,3,2,2,9,7.34375,20.85707276164747,20.853158355247718,24.49205914998164,17.21094467073516,10.59973480854445,10.600481594186054,14.128655013190949,7.092661596346745,1.5333333333333334,1.533333333333333,1.5333333333333405,1.5333333333333274,11.786010094394998,11.651616407721743,11.89673747012403,2,6,1,10
2024,16,IND,5.471121177802943,-0.0711905356441012,0.38165345413363533,1.2225796095522545,0.35148514851485146,0.13008130081300814,6.049891540130154,12.520833333333332,4.838862559241707,1.7117647058823529,1.7333333333333334,58.86666666666667,13.733333333333333,5.535569105691059,-0.015987807776594185,0.43191056910569103,1.0552622636715598,0.4144144144144144,0.0990990990990991,6.465648854961834,10.580645161290324,4.476086956521738,1.8245614035087718,65.6,15.6,-0.10773463652694704,4.388888888888889,8.151898734177214,0,0,0.8620689655172413,1.6666666666666667,1,2.066666666666667,6.190476190476191,4.756756756756756,0,0,1,1.7333333333333334,1,2.3333333333333335,-0.4666666666666667,0.06451612903225806,-1.8015873015873014,3.395141977420458,0,0,-0.13793103448275867,-0.06666666666666665,0,-0.2666666666666666,-0.9833333333333343,0.8833333333333329,13.733333333333333,15.776666666666666,15,26,29,2,14,9,18,4,7,21,17,10,17,9,17,11,30,14,25,11,11,15,4,18,19,27,3,5,3,13,19,17,14.375,14.342094893968182,14.344316448231176,17.82500166861254,10.865220759692333,14.353417057073402,14.352245218706475,17.919654235986876,10.781435010975722,-0.466666666666664,-0.46666666666666445,-0.46666666666665657,-0.46666666666666984,-0.4745954371419637,-0.3828809179500587,-0.5613192340409925,18,17,12,20
2024,16,MIA,5.169989506820564,-0.029157440442604415,0.4354669464847849,1.014078834131907,0.34782608695652173,0.10084033613445378,5.946524064171124,9.792349726775958,4.058673469387754,1.8535031847133758,1.0666666666666667,63.53333333333333,12.266666666666667,5.4680603948896644,0.002290789943282486,0.43205574912891986,1.0146904179601548,0.3073170731707317,0.07627118644067797,6.149514563106797,10.644654088050313,4.453757225433526,1.7848101265822784,57.4,12.266666666666667,-0.06214972531511187,3.8644067796610164,8.186666666666667,0,0,0.8918918918918919,2.2,0.9166666666666666,1.4666666666666666,4.468085106382978,4.948717948717947,0,0,1,2.2666666666666666,0.9642857142857143,1.8,-0.5333333333333333,0.03763440860215054,-0.6036783267219619,3.2379487179487203,0,0,-0.10810810810810811,-0.06666666666666643,-0.04761904761904767,-0.3333333333333335,-2.4499999999999993,-2.4499999999999993,12.266666666666667,12.266666666666667,24,19,15,25,17,15,19,30,31,14,8,17,16,15,18,4,3,6,15,14,10,12,12,5,10,22,3,6,3,26,20,18,14.75,14.814904523317661,14.81913198505774,17.94758913779166,11.709863447331843,13.101318074519668,13.103257015956792,16.540714142335776,9.660609321580386,-0.5333333333333318,-0.5333333333333318,-0.5333333333333254,-0.5333333333333378,1.1825416357676164,1.515920792418119,0.8735416621225578,14,15,8,21
2024,16,DET,6.3612836438923415,0.16541107090886284,0.4979296066252588,1.110486394295294,0.4329896907216495,0.18556701030927836,7.786274509803923,12.092485549132949,4.767543859649122,2.6645962732919255,0.8666666666666667,64.4,23.6,5.69988801791713,-0.06969385548152934,0.4053751399776036,1.0886568018591753,0.28415300546448086,0.09401709401709402,6.385840707964601,11.772307692307693,4.5182926829268295,1.6956521739130435,59.53333333333333,12.533333333333333,-0.2199462655355157,8.142857142857144,5.422535211267605,0,0.06666666666666667,0.8846153846153846,1.5333333333333334,0.9830508474576272,3.8666666666666667,2.8604651162790695,6.381443298969071,0,0,1,1.6666666666666667,1,1.8666666666666667,2,0.05913978494623656,5.282392026578075,-0.9589080877014657,0.06666666666666667,0,-0.11538461538461542,-0.1333333333333333,-0.016949152542372836,2,8.883333333333335,-2.1833333333333336,28.041666666666668,12.533333333333333,2,3,1,9,5,1,3,7,10,1,5,1,24,6,5,19,1,11,21,27,15,7,6,6,31,1,2,21,3,15,1,7,8.65625,25.56589580750612,25.57269124998826,28.96784636302641,22.119773140229594,11.61624006525522,11.6161378838457,15.42801593907319,7.824615469091868,1.9999999999999993,1.9999999999999996,2.0000000000000053,1.999999999999992,15.95655336614256,16.29515767113772,15.539830423953227,1,2,3,7
2024,16,LAC,5.468235294117647,-0.0040952191528704635,0.39294117647058824,1.1389832977926428,0.3564356435643564,0.059322033898305086,6.322851153039831,11.609929078014183,4.375335120643433,1.7852760736196318,0.5333333333333333,56.666666666666664,13.466666666666667,5.451716738197424,-0.03353349077040442,0.4206008583690987,1.0324981463305027,0.34080717488789236,0.136,5.84153005464481,10.401215805471125,4.892950391644908,1.565217391304348,62.13333333333333,11.2,0.02758143349567098,3.5606060606060597,8.417910447761196,0,0,0.9393939393939394,2.066666666666667,0.9,1.8,3.666666666666667,7.5064935064935066,0,0,1,1.7333333333333334,1,1.7333333333333334,1.0666666666666667,0.051075268817204304,-0.1060606060606073,0.9114169412676896,0,0,-0.06060606060606055,0.3333333333333335,-0.09999999999999998,0.06666666666666665,-1.25,-3.5166666666666675,13.466666666666667,11.2,16,15,27,7,12,27,15,8,18,17,1,12,14,8,10,7,12,26,6,5,27,3,7,1,4,17,3,13,3,28,14,11,12.3125,12.714559597633796,12.722335967406732,16.104574353182375,9.3165336518329,11.35262752908396,11.345128850320908,14.80830311784206,7.90703465594992,1.0666666666666664,1.066666666666667,1.0666666666666724,1.0666666666666584,2.4438737837524913,2.476165662549639,2.362937902006988,13,22,2,12
