season,week,team,off_ypp,off_epa,off_success_rt,off_explosiveness,off_third_conv_rate,off_fourth_conv_rate,off_pass_ypa,off_pass_ypc,off_rush_ypa,off_pts_per_opp,off_turnovers,off_plays_pg,off_ppg,def_ypp,def_epa,def_success_rt,def_explosiveness,def_third_conv_rate,def_fourth_conv_rate,def_pass_ypa,def_pass_ypc,def_rush_ypa,def_pts_per_opp,def_plays_pg,def_ppg,st_net_epa,st_punt_return_yds,st_kick_return_yds,st_kick_return_TDs,st_punt_return_TDs,fg_rate,fg_made_pg,xp_rate,xp_made_pg,st_punt_return_yds_allowed,st_kick_return_yds_allowed,st_kick_return_TDs_allowed,st_punt_return_TDs_allowed,fg_rate_allowed,fg_made_pg_allowed,xp_rate_allowed,xp_made_pg_allowed,net_st_ppg,def_turnovers,net_punt_return_yds,net_kick_return_yds,net_punt_return_TDs,net_kick_return_TDs,net_fg_rate,net_fg_made_pg,net_xp_rate,net_xp_made_pg,off_ppg_aboveavg,def_ppg_aboveavg,off_ppg_adj,def_ppg_adj,adj_off_epa,adj_def_epa,adj_off_explosiveness,adj_def_explosiveness,adj_off_pts_per_play,adj_def_pts_per_play,adj_off_ppg,adj_def_ppg,adj_off_ypp,adj_def_ypp,off_error,def_error,Rank_off_ypp,Rank_off_epa,Rank_off_success_rt,Rank_off_explosiveness,Rank_off_third_conv_rate,Rank_off_fourth_conv_rate,Rank_off_pass_ypa,Rank_off_pass_ypc,Rank_off_rush_ypa,Rank_off_pts_per_opp,Rank_off_turnovers,Rank_off_ppg,Rank_adj_off_epa,Rank_adj_off_explosiveness,Rank_adj_off_ypp,Rank_def_ypp,Rank_def_epa,Rank_def_success_rt,Rank_def_explosiveness,Rank_def_third_conv_rate,Rank_def_fourth_conv_rate,Rank_def_pass_ypa,Rank_def_pass_ypc,Rank_def_rush_ypa,Rank_def_pts_per_opp,Rank_def_turnovers,Rank_def_ppg,Rank_adj_def_epa,Rank_adj_def_explosiveness,Rank_adj_def_ypp,Rank_net_st_epa,Rank_net_punt_return_yds,Rank_net_punt_return_TDs,Rank_net_kick_return_yds,Rank_net_kick_return_TDs,Rank_net_xp_rate,Rank_net_xp_made_pg,Rank_net_st_ppg,VoA_Output,OffVoA_MeanRating,OffVoA_MedRating,OffVoA_95PctRating,OffVoA_05PctRating,DefVoA_MeanRating,DefVoA_MedRating,DefVoA_95PctRating,DefVoA_05PctRating,STVoA_MeanRating,STVoA_MedRating,STVoA_95PctRating,STVoA_05PctRating,VoA_Rating_Ovr,VoA_Rating_05Pct,VoA_Rating_95Pct,VoA_Ranking_Ovr,OffVoA_Ranking,DefVoA_Ranking,STVoA_Ranking
2024,22,BUF,6.032445923460899,0.18950019448053643,0.4667221297836938,1.1517430693733939,0.39776951672862454,0.17557251908396945,7.2118780096308175,11.819121447028424,4.763385146804836,2.6532663316582914,0.45,60.1,21.8,5.663349917081258,0.00859878937622492,0.44112769485903813,1.1357084393756598,0.4015748031496063,0.16,6.3968481375358195,10.668161434977579,4.655511811023625,1.965,60.3,15.3,-0.025328223322170454,6.345454545454547,7.881720430107528,0,0,0.8571428571428571,1.5,0.9295774647887324,3.3,4.426229508196722,8.418032786885243,0.05,0,1,1.15,0.9782608695652174,2.25,1.8,0.09408602150537634,1.9192250372578243,-0.5363123567777155,0,-0.05,-0.1428571428571429,0.3500000000000001,-0.04868340477648503,1.0499999999999998,7.066062521499829,0.38597643004570337,25.333031260749916,15.492988215022852,0.13851170547586267,0.002780176034223714,1.103196031258888,1.0995425433095187,0.2941809098535008,0.2450068430360393,25.568829801442973,17.41678942774106,5.872010293356384,5.583538320213687,7.943637730285628,3.1204449313471856,6,2,7,5,7,3,5,8,10,2,1,3,2,5,6,23,14,23,30,28,32,23,11,20,20,2,21,13,30,21,7,4,4,20,4,29,5,5,12.131578947368421,25.606046717636357,25.604463150048826,26.53505039604256,24.67807838379285,17.223968550315874,17.224337442891294,17.8983364911815,16.553173342048815,0.2725090120374002,0.26891839343170704,3.7078868709469788,-3.1162418574030717,8.64904410058924,5.008663184340964,12.34460077580804,4,2,22,13
2024,22,KC,5.27198697068404,0.06168384395357488,0.47068403908794787,0.9886639890650301,0.4392857142857143,0.10294117647058823,5.968834688346884,10.294117647058822,4.222448979591836,2.0495049504950495,0.95,61.4,15.2,5.343442622950821,0.02481331193937377,0.42950819672131146,1.1081020108053443,0.3908450704225352,0.10884353741496598,6.170454545454545,10.792147806004618,4.215116279069768,1.8542713567839195,61,13.6,-0.09447280643319886,5.515151515151516,11.652631578947371,0,0,0.8780487804878049,1.8,0.9545454545454546,2.1,3.9722222222222228,8.278846153846152,0,0,1,1.55,0.8571428571428571,1.8,1.05,0.053763440860215055,1.5429292929292928,3.37378542510122,0,0,-0.12195121951219512,0.25,0.09740259740259749,0.30000000000000004,0.4660625214998273,-1.3140235699542977,15.293212504299964,12.94298821502285,0.05372839350790132,0.014528440638613204,1.0492248629151952,1.0854999427010579,0.24392018840096003,0.23166141574522858,17.203844607753396,15.729684618156673,5.369560281848348,5.381379610220936,2.2822256509725056,2.075906396377023,20,11,6,29,3,16,19,23,24,10,8,9,9,31,19,9,20,13,24,24,16,14,15,5,13,10,10,18,21,8,19,7,4,7,3,1,9,12,13.657894736842104,17.157071441822158,17.1542503487438,18.076754477214763,16.24498833004952,15.60528830972661,15.60440417231875,16.249161488892803,14.971238012516567,1.4304142882227537,1.3892718917440383,5.048891460959389,-2.133669985638235,2.9391180681690896,-0.8599196681052823,6.8764844492813495,11,12,13,1
2024,22,NO,5.3148148148148175,-0.0568752017925953,0.40058479532163743,1.085259205203913,0.3220338983050847,0.1079136690647482,5.905245346869708,10.97058823529412,4.512643678160919,1.721311475409836,1,60.35294117647059,12.823529411764707,5.875,0.04385071931194424,0.4420289855072464,1.1009054134177654,0.3786008230452675,0.10144927536231885,6.4224683544303804,11.734972677595627,5.141949152542373,1.875,64.94117647058823,14.117647058823529,-0.022308870660738542,5.101694915254238,10.706521739130434,0,0.11764705882352941,0.8709677419354839,1.588235294117647,0.9393939393939394,1.8235294117647058,2.84,18.772151898734176,0,0,1,1.9411764705882353,0.9459459459459459,2.0588235294117645,-0.5882352941176471,0.051075268817204304,2.261694915254238,-8.065630159603742,0.11764705882352941,0,-0.12903225806451613,-0.3529411764705883,-0.006552006552006495,-0.23529411764705865,-1.9104080667354655,-0.7963765111307683,12.823529411764707,13.719458803258146,-0.04881604230444621,0.035383978026104865,1.082166009014172,1.0881613786762245,0.22806941684441637,0.23206971280246536,13.724871534844372,16.366649558713828,5.359915445336188,5.753527147208281,0.01529204691941641,1.7733375248094894,18,25,24,15,27,14,21,15,14,21,9,19,25,14,20,28,25,24,21,22,14,24,28,31,15,11,15,25,23,30,6,3,1,32,3,17,19,20,18.894736842105264,13.752632188399994,13.749739987795149,14.541178877041464,12.973723143435977,16.749876549539092,16.748469385231456,17.381802740258898,16.121215506810643,0.6955791826745139,0.6818197115451082,4.294701518644437,-2.892664588467885,-2.316909685891199,-6.04015695184255,1.4540776554270023,19,23,18,7
2024,22,CLE,4.575379125780549,-0.18331938955521823,0.3568242640499554,1.0861687346480173,0.26022304832713755,0.14634146341463414,4.790190735694819,9.820253164556965,4.1679586563307485,1.1940298507462686,1.8823529411764706,65.94117647058823,10.117647058823529,5.778437190900102,0.01744670086315355,0.4065281899109792,1.2110127452561246,0.3389121338912134,0.05555555555555555,6.589416058394159,12.272151898734176,4.818574514038876,1.7714285714285714,59.470588235294116,16.941176470588236,-0.11349672080132367,5.294117647058822,11.186813186813188,0,0,0.6666666666666666,1.0588235294117647,0.8571428571428571,1.0588235294117647,5.955056179775281,10.9375,0.058823529411764705,0.058823529411764705,1,1.2941176470588236,0.9807692307692307,3,-3.3529411764705883,0.03763440860215054,-0.6609385327164592,0.24931318681318793,-0.058823529411764705,-0.058823529411764705,-0.33333333333333337,-0.23529411764705888,-0.12362637362637363,-1.9411764705882353,-4.616290419676643,2.027152900633938,10.117647058823529,17.954752920905204,-0.13282147531538344,0.004376241797557382,1.0822546105750601,1.1224009459725386,0.20486000833896542,0.2594287991662721,10.104585988338592,16.029079565201496,4.921285543696363,5.664622177327862,-3.3490433622692484,1.0782644122866059,31,32,32,14,32,6,32,29,27,32,25,27,32,13,31,26,15,4,32,10,1,28,32,24,9,16,24,14,32,26,24,23,6,14,5,31,29,27,22.289473684210527,9.387372684293508,9.390726486858878,10.274450447756706,8.491453869604591,15.779240447571532,15.779054502266844,16.477662581864333,15.083921824269735,-2.376653305166306,-2.3748626405517888,1.4864351768068047,-6.203958851397554,-8.763190655959754,-12.796426806062698,-4.716776957300822,30,32,14,32
2024,22,SEA,5.560903732809429,-0.029842436537466422,0.4302554027504912,1.0443210458908168,0.3333333333333333,0.07633587786259542,6.203703703703703,10.602905569007266,4.435135135135135,1.7052631578947368,1.2941176470588236,59.88235294117647,13.411764705882353,5.373106060606059,-0.011866435561123156,0.4251893939393939,1.0280703993743383,0.3401639344262295,0.07246376811594203,5.8585365853658535,10.59299191374663,4.696145124716555,1.7295918367346939,62.11764705882353,13.294117647058824,-0.10397397912463752,2.2962962962962963,12.52941176470588,0.058823529411764705,0,0.8666666666666667,1.5294117647058822,0.925,2.176470588235294,3.736842105263158,12.953488372093025,0.058823529411764705,0,1,1.7058823529411764,0.9705882352941176,1.9411764705882353,-0.29411764705882354,0.053763440860215055,-1.4405458089668617,-0.4240766073871445,0,0,-0.1333333333333333,-0.17647058823529416,-0.045588235294117596,0.23529411764705865,-1.3221727726178187,-1.619905922895473,13.411764705882353,12.484164685611088,-0.01988785745163465,-0.017010284624060176,1.069409118868871,1.0651512271986057,0.23500937722591606,0.2305177775215701,13.332850095262549,13.700597540840318,5.548369014260783,5.379719419992016,-0.6849837652277802,-0.1410562653496841,13,20,15,23,22,23,15,20,16,22,16,17,20,23,14,12,10,11,7,11,3,6,8,22,7,10,8,9,8,7,21,26,4,17,3,28,12,19,14.421052631578947,13.232775346606086,13.234150052739405,14.049716157574293,12.41818286384126,13.852679250159497,13.854871552797565,14.454898082794161,13.247678907550862,-0.7532613803253216,-0.7383149675183684,2.634369606193304,-4.17120117838143,-1.3590364675765283,-5.0006972220910315,2.2291876809734363,18,24,8,28
2024,22,PHI,5.76062639821029,0.11878459522348166,0.4280387770320656,1.2118298728916725,0.3787375415282392,0.13253012048192772,6.387959866220735,11.529891304347824,5.2557200538358,2.3175965665236054,0.7142857142857143,63.857142857142854,20,4.837708830548925,-0.10414444052351046,0.3929992044550517,1.063439217935952,0.3356164383561644,0.15151515151515152,5.142483660130718,9.993087557603685,4.363821138211383,1.5066666666666666,59.857142857142854,11.714285714285714,-0.059842873283425344,3.82716049382716,12.784946236559142,0,0,0.8085106382978723,1.8095238095238095,0.9375,2.857142857142857,3.3970588235294117,9.077519379844958,0,0,1,1.4761904761904763,0.8928571428571429,1.1904761904761905,2.6666666666666665,0.10752688172043011,0.4301016702977485,3.707426856714184,0,0,-0.19148936170212771,0.33333333333333326,0.044642857142857095,1.6666666666666667,5.266062521499828,-3.199737855668584,22.633031260749913,10.114416786451422,0.07674831183938045,-0.08148600307657271,1.1221006860429628,1.0758687161950928,0.26901755512392206,0.22180175824685922,23.378983180472524,10.307419849935208,5.618620496262827,5.07499018507563,6.2553713428829845,-2.4914315407332133,10,6,16,1,10,7,13,10,4,7,3,4,6,1,11,1,1,3,11,8,30,1,2,10,1,1,2,1,12,1,12,13,4,5,3,7,1,2,6.342105263157895,23.43285393032715,23.43443990811052,24.386175645031035,22.473055003181457,10.301236119374297,10.300688758717111,10.937165316223407,9.667633319083428,0.4267656308213041,0.4159414456471973,3.8667087602917394,-2.9967060594245947,13.549692595040606,9.808715624673434,17.315719089099368,2,5,1,10
2024,22,IND,5.5183752417794985,-0.056828242218978135,0.3994197292069632,1.1680979292385099,0.36086956521739133,0.12056737588652482,6.166972477064219,12.453287197231834,4.795501022494887,1.7783505154639174,1.7058823529411764,60.8235294117647,14.235294117647058,5.606915377616014,0.004307488041538006,0.43039126478616924,1.0914442623510205,0.4126984126984127,0.08870967741935484,6.717728055077453,10.957671957671959,4.36100386100386,1.8883248730964468,64.6470588235294,16.235294117647058,-0.148024527216287,4.196721311475409,6.851063829787233,0,0,0.8378378378378378,1.8235294117647058,1,2.1176470588235294,5.955882352941178,5.136363636363634,0.058823529411764705,0,1,1.7647058823529411,1,2.5294117647058822,-0.5882352941176471,0.06720430107526881,-1.7591610414657692,1.7147001934235986,0,-0.058823529411764705,-0.16216216216216217,0.05882352941176472,0,-0.4117647058823528,-0.498643360853114,1.3212705476927606,14.235294117647058,16.89592939149344,-0.04238357821085482,0.015051997903908642,1.1071956576091604,1.083078352954433,0.2390319305839046,0.24785927165074112,15.577211951265378,15.700449699408267,5.521082423141305,5.6339351554970705,1.0935269020824139,0.15464492372494557,16,24,25,4,13,10,16,4,9,19,24,14,24,4,16,19,12,14,19,29,10,29,19,9,16,6,23,19,19,25,27,28,4,11,5,15,21,20,16.342105263157894,15.493021008630379,15.494086150771267,16.31606264557613,14.669951369914482,15.591216254123877,15.592854690085591,16.247796182316584,14.926498641124173,-0.7221988282076556,-0.721617473054049,2.587017560819744,-4.098886848657796,-0.8203860123683735,-4.355434119867486,2.6552840240792914,17,15,12,27
2024,22,MIA,5.150557620817846,-0.0389293315391862,0.43215613382899626,1.0285275439532746,0.33189655172413796,0.11029411764705882,5.8913385826771645,9.77239709443099,4.083900226757369,1.7967032967032968,1.1764705882352942,63.294117647058826,12.235294117647058,5.361,-0.021976469952547276,0.423,1.0197821067145962,0.3191489361702128,0.07352941176470588,5.946932006633498,10.49041095890411,4.4710327455919385,1.7142857142857142,58.8235294117647,12.352941176470589,-0.013292182625695564,3.9411764705882355,9.096385542168678,0,0,0.9024390243902439,2.176470588235294,0.9285714285714286,1.5294117647058822,4.035087719298245,4.931034482758622,0,0,1,2.1176470588235294,0.967741935483871,1.7647058823529411,-0.058823529411764705,0.0456989247311828,-0.09391124871000933,4.165351059410056,0,0,-0.09756097560975607,0.0588235294117645,-0.03917050691244239,-0.23529411764705888,-2.498643360853114,-2.5610823934837086,12.235294117647058,11.072399979728734,-0.03423094358622001,-0.0021110634600304216,1.0623560885243377,1.0617297809436426,0.21997148639277325,0.23027200272076132,14.560430250208416,12.595988721265753,5.29906308120994,5.445901118669681,0.6926097225038822,-0.4718550648056189,24,21,14,25,23,13,22,30,31,15,12,21,21,25,23,11,9,10,6,3,4,8,7,12,6,13,4,11,6,12,4,18,4,4,3,27,20,16,14.157894736842104,14.97752636159264,14.973595887113238,15.809211433460016,14.159309392260203,12.703884860239096,12.702557478090382,13.339564397133785,12.069630914186678,0.2208604698942254,0.21631655674482117,3.6410488681087516,-3.1932478512952454,2.487354965767677,-1.1035693732217204,6.110695904434983,12,18,4,14
2024,22,DET,6.4467353951890045,0.16452450872852098,0.5034364261168385,1.127151959103005,0.43722943722943725,0.21238938053097345,7.685897435897437,11.919811320754716,5.014814814814815,2.7202072538860103,1.1111111111111112,64.66666666666667,24.11111111111111,5.821955719557195,-0.03887205639288566,0.41420664206642066,1.1190153028892866,0.2895927601809955,0.1079136690647482,6.54264705882353,11.906329113924052,4.608910891089108,1.796875,60.22222222222222,13.777777777777779,-0.18448328898847194,7.9833333333333325,6.573033707865169,0,0.05555555555555555,0.9,1.5,0.9577464788732394,3.7777777777777777,2.9347826086956514,6.439655172413793,0,0,1,1.6111111111111112,0.9743589743589743,2.111111111111111,1.6666666666666667,0.06451612903225806,5.048550724637681,0.13337853545137612,0.05555555555555555,0,-0.09999999999999998,-0.11111111111111116,-0.016612495485734957,1.6666666666666665,9.377173632610939,-1.1362457921765188,28.79969792741658,13.20965488168952,0.1244811747953933,-0.028966089148796913,1.0959621160532043,1.0921443555668617,0.29710305945609955,0.2365848150530169,27.528996863333592,13.812928708227892,6.081374829275111,5.687105461892237,8.37141296287721,0.04283354038105694,2,3,1,8,4,2,2,5,5,1,11,1,3,8,2,27,7,8,27,1,15,26,30,17,11,7,11,7,28,27,29,1,3,16,3,18,2,7,10.157894736842104,27.061018832613183,27.059560486915373,27.91773713642213,26.208604056495197,14.18180874762127,14.182829481218537,14.864377732240285,13.498135325770422,0.9101001062973418,0.9194148878672534,4.562370730017098,-2.783097455026863,13.79614589356409,9.927371275697912,17.61573013419894,1,1,9,4
2024,22,LAC,5.525665399239544,0.010851564895418685,0.4068441064638783,1.1473106587170163,0.3724696356275304,0.07042253521126761,6.518644067796608,11.83714285714286,4.257575757575759,1.9035532994923858,0.6666666666666666,58.44444444444444,14,5.441095890410956,-0.06375817948808778,0.42100456621004567,1.0002758140119767,0.33203125,0.1342281879194631,5.821263482280432,10.395886889460154,4.887892376681615,1.523076923076923,60.833333333333336,11,-0.006637310023945714,3.415584415584415,8.111111111111109,0,0,0.9318181818181818,2.2777777777777777,0.8918918918918919,1.8333333333333333,3.6103896103896105,7.867346938775509,0,0,1,1.7222222222222223,1,1.7777777777777777,1.7222222222222223,0.06451612903225806,-0.19480519480519565,0.24376417233559966,0,0,-0.06818181818181823,0.5555555555555554,-0.10810810810810811,0.05555555555555558,-0.733937478500172,-3.9140235699542973,14,9.042988215022852,0.005464470778918694,-0.03618149445222185,1.101083804996557,1.0564387817673722,0.24089802373632424,0.21748792000314024,15.831834172438985,10.5748611807706,5.529316244403034,5.499322869334612,1.8077636184429795,-2.1780858140744717,15,14,21,6,11,28,9,7,23,14,2,16,15,6,15,13,5,9,2,7,25,5,6,26,2,7,1,6,3,16,3,20,4,15,3,30,15,6,11.342105263157896,16.196892927756814,16.196137030019308,17.014114903775575,15.382439103337543,10.446475437652891,10.449326963632169,11.082809824267521,9.800428105659769,-0.32080471616758865,-0.3089042668683911,3.286479055774797,-3.9558857885877607,5.437905799518748,1.626125209090013,9.217784135282852,6,14,2,21
