season,week,team,off_ypp,off_epa,off_success_rt,off_explosiveness,off_third_conv_rate,off_fourth_conv_rate,off_pass_ypa,off_pass_ypc,off_rush_ypa,off_pts_per_opp,off_turnovers,off_plays_pg,off_ppg,def_ypp,def_epa,def_success_rt,def_explosiveness,def_third_conv_rate,def_fourth_conv_rate,def_pass_ypa,def_pass_ypc,def_rush_ypa,def_pts_per_opp,def_plays_pg,def_ppg,st_net_epa,st_punt_return_yds,st_kick_return_yds,st_kick_return_TDs,st_punt_return_TDs,fg_rate,fg_made_pg,xp_rate,xp_made_pg,st_punt_return_yds_allowed,st_kick_return_yds_allowed,st_kick_return_TDs_allowed,st_punt_return_TDs_allowed,fg_rate_allowed,fg_made_pg_allowed,xp_rate_allowed,xp_made_pg_allowed,net_st_ppg,def_turnovers,net_punt_return_yds,net_kick_return_yds,net_punt_return_TDs,net_kick_return_TDs,net_fg_rate,net_fg_made_pg,net_xp_rate,net_xp_made_pg,off_ppg_aboveavg,def_ppg_aboveavg,adj_off_epa,adj_def_epa,adj_off_explosiveness,adj_def_explosiveness,adj_off_pts_per_play,adj_def_pts_per_play,adj_off_ppg,adj_def_ppg,adj_off_ypp,adj_def_ypp,off_error,def_error,Rank_off_ypp,Rank_off_epa,Rank_off_success_rt,Rank_off_explosiveness,Rank_off_third_conv_rate,Rank_off_fourth_conv_rate,Rank_off_pass_ypa,Rank_off_pass_ypc,Rank_off_rush_ypa,Rank_off_pts_per_opp,Rank_off_turnovers,Rank_off_ppg,Rank_adj_off_epa,Rank_adj_off_explosiveness,Rank_adj_off_ypp,Rank_def_ypp,Rank_def_epa,Rank_def_success_rt,Rank_def_explosiveness,Rank_def_third_conv_rate,Rank_def_fourth_conv_rate,Rank_def_pass_ypa,Rank_def_pass_ypc,Rank_def_rush_ypa,Rank_def_pts_per_opp,Rank_def_turnovers,Rank_def_ppg,Rank_adj_def_epa,Rank_adj_def_explosiveness,Rank_adj_def_ypp,Rank_net_st_epa,Rank_net_punt_return_yds,Rank_net_punt_return_TDs,Rank_net_kick_return_yds,Rank_net_kick_return_TDs,Rank_net_xp_rate,Rank_net_xp_made_pg,Rank_net_st_ppg,VoA_Output,OffVoA_MeanRating,OffVoA_MedRating,OffVoA_95PctRating,OffVoA_05PctRating,DefVoA_MeanRating,DefVoA_MedRating,DefVoA_95PctRating,DefVoA_05PctRating,STVoA_MeanRating,STVoA_MedRating,STVoA_95PctRating,STVoA_05PctRating,VoA_Rating_Ovr,VoA_Rating_05Pct,VoA_Rating_95Pct,VoA_Ranking_Ovr,OffVoA_Ranking,DefVoA_Ranking,STVoA_Ranking
2025,16,NO,4.832278481012657,-0.10418916502945774,0.4061181434599156,0.9199099409629784,0.3696682464454976,0.09090909090909091,5.601410934744269,9.758522727272732,3.6876640419947506,1.5,1.3333333333333333,63.2,9.333333333333334,5.090100111234706,-0.037119874753382916,0.41935483870967744,1.0225539098461947,0.29767441860465116,0.12931034482758622,5.882743362831857,10.64102564102564,4.2885906040268464,1.8867924528301887,59.93333333333333,13.866666666666667,-0.16293412036497915,3.5957446808510647,18.974025974025974,0,0,0.7297297297297297,1.8,1,1.4666666666666666,4.699999999999998,17.815384615384616,0,0.06666666666666667,1,1.8666666666666667,0.9411764705882353,2.1333333333333333,-1.2666666666666666,0.051075268817204304,-1.1042553191489337,1.1586413586413578,-0.06666666666666667,0,-0.2702702702702703,-0.06666666666666665,0.05882352941176472,-0.6666666666666667,-5.720833333333333,-1.1875,-0.07820397959332967,-0.029146350549122547,1.0239976459885136,1.0598298115121132,0.20439271222043354,0.24013030156640308,11.97999854600242,14.459799713515205,4.944022072676059,5.160078958871744,-0.8081655319589226,1.487435393737852,28,27,25,32,12,24,25,29,31,28,12,26,28,32,28,8,10,10,8,2,19,13,11,12,12,7,11,10,7,9,26,22,4,8,2,6,21,20,16.973684210526315,12.783631651473259,12.77556432780859,16.80939116510453,8.805824812031545,15.138667132496973,15.158095662037393,18.96355980493136,11.270782203999667,-0.8228395332133733,-0.8201619022846844,4.089133916999357,-5.612106502348785,-3.2026932365134875,-8.077063894316908,1.934965277172525,26,28,13,24
2025,16,BUF,6.095444685466378,0.1392002864315086,0.482646420824295,1.102860699047627,0.4079601990049751,0.14736842105263157,6.825902335456474,11.57190635451505,5.332594235033259,2.4193548387096775,1.1333333333333333,61.46666666666667,20.933333333333334,5.502352941176472,0.003376788040849141,0.43176470588235294,1.126026639957552,0.40641711229946526,0.09473684210526316,5.538631346578365,10.766798418972334,5.4609571788413085,2.0316455696202533,56.666666666666664,16.533333333333335,0.04319556264515151,2.535714285714286,23.45945945945946,0.06666666666666667,0,0.9047619047619048,1.2666666666666666,0.9183673469387755,3,2.5581395348837206,22.10344827586207,0,0,1,1.4,0.9166666666666666,2.2,0.8,0.056451612903225805,-0.022425249169434558,1.3560111835973885,0,0.06666666666666667,-0.09523809523809523,-0.1333333333333333,0.001700680272108901,0.7999999999999998,5.879166666666666,1.4791666666666679,0.09616662930648062,0.02270513740544329,1.0872102502661363,1.0965368821273473,0.28523151719759027,0.2693059119195778,23.430254362757328,16.74429169651565,5.878383169254945,5.565902909440076,6.027479106715503,2.9030684418419797,6,3,2,11,4,7,8,11,2,3,9,3,2,11,7,18,13,19,23,28,9,6,13,30,20,5,19,20,24,22,4,17,3,7,1,15,6,10,11.078947368421053,21.71043167302896,21.69548906598832,25.379696904722778,18.057735744670293,16.29224800309236,16.281414827420626,20.368540293711895,12.208353194689918,1.1083652923192207,1.0903301721682979,5.940851764168566,-3.6790272445986822,6.504404410735991,2.170355305381692,10.95200837517945,7,5,15,4
2025,16,JAX,5.32842105263158,0.021364179471076328,0.42526315789473684,1.1341936525054046,0.35071090047393366,0.14035087719298245,6.179245283018865,11.757575757575763,4.254761904761903,2.1124260355029585,1.0666666666666667,63.333333333333336,18,5.177681473456124,-0.0855472572819831,0.419284940411701,0.9950101522051819,0.3791469194312796,0.09174311926605505,5.726821192052984,10.200557103064067,4.137931034482759,1.7065868263473054,61.53333333333333,14.266666666666667,-0.018800824471752048,6.296296296296296,19.708333333333336,0,0.13333333333333333,0.8620689655172413,1.6666666666666667,0.9772727272727273,2.8666666666666667,3.072727272727273,16.38095238095238,0,0,1,1.2666666666666666,0.9666666666666667,1.9333333333333333,2.933333333333333,0.07526881720430108,3.2235690235690226,3.327380952380956,0.13333333333333333,0,-0.13793103448275867,0.40000000000000013,0.010606060606060619,0.9333333333333333,2.945833333333333,-0.7874999999999996,0.025663140598423687,-0.054081957913125416,1.0988686473325169,1.0537591084503424,0.26447084507439783,0.24337674762251402,22.630734448692664,15.630555948192603,5.418443948970185,5.299577136865783,6.010369595017526,2.0742184985896457,20,15,19,3,18,10,14,5,25,12,8,5,15,3,18,11,4,9,5,22,8,10,4,6,6,2,13,5,6,11,9,3,1,4,2,14,4,4,9.289473684210526,20.506727299349542,20.482476977760435,24.507990112004173,16.594495294872186,14.006873257470195,13.999359378184565,17.94197793887202,10.088970523955524,0.6973070058552968,0.6867679142476133,5.547833640973981,-4.122136177265092,7.169885513823483,2.3833885936515697,12.113845814106131,6,8,11,9
2025,16,CLE,4.313915857605177,-0.19156870026051542,0.33872707659115425,1.0585534939070913,0.29535864978902954,0.07746478873239436,4.570143884892085,9.677966101694912,3.9299191374663076,1.302857142857143,1.4666666666666666,61.8,10.133333333333333,4.844907407407407,-0.08656940108679324,0.375,1.1634995253018,0.33183856502242154,0.04878048780487805,5.361655773420479,10.914728682170542,4.259259259259255,1.7359550561797752,57.6,14.4,0.0346106058729445,3.138888888888889,19.337662337662337,0,0,0.8695652173913043,1.3333333333333333,0.9565217391304348,1.4666666666666666,5.654761904761905,21.7,0.06666666666666667,0.13333333333333333,1,1.6666666666666667,0.9743589743589743,2.533333333333333,-3.2666666666666666,0.043010752688172046,-2.5158730158730163,-2.362337662337662,-0.13333333333333333,-0.06666666666666667,-0.13043478260869568,-0.3333333333333335,-0.017837235228539527,-1.0666666666666667,-4.920833333333334,-0.6541666666666668,-0.1438260064829764,-0.05321788309883733,1.0732382780780338,1.107564623731548,0.21200337294506805,0.2478573263050478,11.732857134722073,17.212489109864173,4.587902280078104,5.0250258515792785,-1.2394959789130755,4.355352202129155,32,31,32,25,30,29,30,30,29,32,14,24,32,25,32,4,3,3,28,8,2,4,15,11,9,10,14,6,28,5,5,27,5,28,3,24,25,27,18.973684210526315,12.053628034680814,12.040680038660364,16.003999096740763,8.082528023150894,13.913213470925136,13.920195600010413,17.84343350593878,9.96967243792109,-0.07037602193718896,-0.05993279822259483,4.6863696079355455,-4.772997626799414,-1.9394483595726435,-6.66014204156961,2.846935198737529,23,30,9,18
2025,16,PHI,5.470454545454545,0.04365569424423819,0.42272727272727273,1.1152818847972756,0.33658536585365856,0.09016393442622951,6.438177874186552,11.080985915492956,4.405727923627686,1.8417721518987342,0.8,58.666666666666664,16.133333333333333,5.094420600858368,-0.0792425338191717,0.41952789699570814,0.995695815484808,0.36199095022624433,0.06557377049180328,5.549999999999996,11.334558823529411,4.519417475728156,1.7468354430379747,62.13333333333333,11.866666666666667,-0.18884767446394715,3.767857142857143,18.942028985507246,0,0,0.7083333333333334,1.1333333333333333,0.9743589743589743,2.533333333333333,4.822580645161288,20.2972972972973,0,0,1,1.8666666666666667,0.9259259259259259,1.6666666666666667,-1.3333333333333333,0.04838709677419355,-1.0547235023041455,-1.3552683117900521,0,0,-0.29166666666666663,-0.7333333333333334,0.04843304843304841,0.8666666666666665,1.0791666666666657,-3.1875,0.026256421882460447,-0.06277636080556026,1.090130095651189,1.0501561211748294,0.25641452119807473,0.22200821535671206,17.817414865189964,11.786355994203525,5.406554929498092,5.12467094143577,2.903884955939636,-0.5883093658577796,16,12,21,6,22,25,10,16,19,21,4,12,14,8,19,9,5,11,6,18,3,7,25,18,10,8,5,2,5,7,28,21,3,24,2,7,5,21,12.5,16.9800947044257,16.979260181267307,20.59246876109328,13.32139044754674,14.128193331014606,14.129495655417003,17.877364073528746,10.317123778925877,-1.650203974013404,-1.6663179086209676,3.341074746702431,-6.636270798191732,1.1834466172293365,-3.632004129570869,6.056179434266964,16,21,12,31
2025,16,GB,5.759156492785794,0.1392015978830046,0.46392896781354054,1.1048832513401579,0.4563106796116505,0.14893617021276595,7.010482180293499,11.600660066006602,4.3514150943396235,2.189189189189189,0.8,60.06666666666667,16.666666666666668,4.931447225244837,0.011990950566103484,0.4243743199129489,0.9776269940319484,0.33636363636363636,0.15702479338842976,5.6124763705104,9.81424148606811,4.007692307692306,1.9014084507042253,61.266666666666666,13.466666666666667,-0.1918202160219326,2.8627450980392153,18.085714285714285,0,0,0.8125,1.7333333333333334,0.9230769230769231,2.4,5.2926829268292686,19.329113924050635,0,0,1,1.6,0.9259259259259259,1.6666666666666667,1.1333333333333333,0.03225806451612903,-2.4299378287900533,-1.2433996383363493,0,0,-0.1875,0.1333333333333333,-0.002849002849002802,0.7333333333333332,1.6125000000000007,-1.5875000000000004,0.09409217125459951,0.011848028630900611,1.0848457333864074,1.0423798961931112,0.2576372962031404,0.2342637386788103,17.313591697922714,13.796733187421257,5.5816559618603545,5.0627630690726555,1.9676334403574682,0.8636198851352153,9,2,7,9,2,6,6,9,21,10,4,9,3,12,11,5,19,13,4,10,26,8,1,5,14,13,9,16,2,6,29,26,3,22,2,17,7,8,10.131578947368421,19.289643662354923,19.284647712466025,23.2949654065335,15.273891817299544,13.867214191059144,13.856715225914106,17.97107298549105,9.778441892393044,-0.9448001912838526,-0.934664578116772,3.9226718126407554,-5.75521369616711,4.493267908435147,-0.25976377126060957,9.246564233683207,10,11,8,25
2025,16,LA,6.449838187702268,0.15443319885405643,0.5145631067961165,1.0637691174680557,0.3425414364640884,0.17647058823529413,7.569029850746272,12.255131964809387,4.915601023017905,2.5875,0.8,61.8,22.8,5.112266112266116,-0.07595636566698741,0.40124740124740127,1.0315810234218084,0.33796296296296297,0.18181818181818182,5.750865051903115,10.530791788856305,4.151041666666668,1.6139240506329113,64.13333333333334,12.4,-0.11161676621882309,4.127272727272728,19.166666666666668,0,0,0.75,1.2,0.9482758620689655,3.6666666666666665,6.717391304347826,7.637362637362637,0,0.06666666666666667,1,1.5333333333333334,0.9629629629629629,1.7333333333333334,0.5333333333333333,0.06451612903225806,-2.5901185770750983,11.529304029304031,-0.06666666666666667,0,-0.25,-0.3333333333333335,-0.014687100893997385,1.9333333333333331,7.745833333333334,-2.654166666666667,0.12527207627841516,-0.05866890183992022,1.0746258522367,1.0624003081284732,0.2992864857793662,0.22420267247434383,25.36383154702179,14.1045514237959,6.205703794284679,5.156860441492251,6.997382060227015,1.1451317832103851,1,1,1,22,21,3,2,3,6,1,4,1,1,24,1,10,6,5,9,12,30,11,8,7,4,3,8,4,9,8,23,28,4,1,2,22,1,11,8.368421052631579,24.48328422025854,24.495897182786187,28.592548518399276,20.391612830063988,13.57442323645032,13.567131627775147,17.32582996518406,9.799114628603428,0.22051213806640035,0.22093820175790208,5.788437066065944,-5.380847970964097,11.149703756768941,5.2116502304964625,17.05515561928116,1,1,7,14
2025,16,LAC,5.443979057591622,0.015327006393365308,0.44397905759162304,1.0636249901028936,0.43776824034334766,0.08333333333333333,6.082872928176795,10.984662576687118,4.601941747572817,2.1315789473684212,1.2,63.666666666666664,13.733333333333333,5.067857142857141,-0.07138630992944081,0.4142857142857143,1.0459548360250799,0.3147208121827411,0.125,5.449392712550608,10.574007220216606,4.523121387283235,1.6862745098039216,56,12.266666666666667,-0.0779954549452552,2.333333333333333,20.61111111111111,0,0,0.9473684210526315,2.4,1,2.2,5.7608695652173925,22.46428571428571,0,0.06666666666666667,1,1.7333333333333334,0.9310344827586207,1.8,2,0.051075268817204304,-3.4275362318840594,-1.853174603174601,-0.06666666666666667,0,-0.052631578947368474,0.6666666666666665,0.06896551724137934,0.40000000000000013,-1.3208333333333346,-2.7874999999999996,0.009299105818720808,-0.03854419633211254,1.076289673424444,1.068790031345917,0.23489141201731265,0.2365193645773301,17.482595171248207,13.183382598789642,5.438848056793814,5.2309477845524235,2.6572972738493577,1.3577432698948917,18,16,10,23,3,27,18,17,14,11,10,19,17,22,17,7,7,7,12,4,17,5,10,19,5,7,7,8,12,10,18,31,4,25,2,4,9,7,12.605263157894736,18.71063771464329,18.712816452777133,22.674290962263854,14.775366324455204,13.08511082832652,13.084851388112398,16.844579211591416,9.304006923629567,1.7945298751194778,1.8104210098662643,6.922267652212249,-3.2786028561853584,7.4383860745309995,2.192756544640279,12.751979402884686,5,13,3,1
2025,16,NE,6.194013303769406,0.12435383389980173,0.46452328159645234,1.1716447117782447,0.37254901960784315,0.1553398058252427,7.4880478087649385,12.295031055900623,4.570000000000004,2.25974025974026,1.0666666666666667,60.13333333333333,17.066666666666666,5.348645465253237,-0.01701529039832278,0.4499411071849234,0.9677737862106576,0.3582887700534759,0.07476635514018691,6.088353413654613,10.254777070063698,4.299145299145301,1.8355263157894737,56.6,13.733333333333333,-0.19963541090464884,6.258620689655171,19.455882352941178,0.06666666666666667,0.13333333333333333,0.896551724137931,1.7333333333333334,0.9545454545454546,2.8,5.717391304347825,18.734939759036145,0,0.06666666666666667,1,1.1333333333333333,0.9393939393939394,2.066666666666667,3.3333333333333335,0.043010752688172046,0.5412293853073455,0.7209425939050327,0.06666666666666667,0.06666666666666667,-0.10344827586206895,0.6000000000000001,0.015151515151515138,0.733333333333333,2.0124999999999993,-1.3208333333333346,0.07720219147137711,0.015612672970714597,1.1081531877871083,1.0430289998697608,0.25879543652276227,0.24830681508279537,19.723774426487015,14.370491990877628,5.90175369670366,5.501978605881769,4.290997511288301,1.7357713446271466,3,4,6,2,9,5,3,2,16,7,8,7,7,2,5,14,11,23,3,16,6,15,5,13,11,10,10,18,3,17,30,13,2,10,1,13,8,3,8.973684210526315,21.629887369477405,21.638961004862,25.41544876871504,17.876809602575086,13.986910061454749,13.985671234392342,17.911827536398288,10.100363882429994,0.519094909107434,0.49085489508850727,5.395773807040806,-4.343004717589428,8.144144665558166,3.4334410025556643,12.89939503935756,4,6,10,11
2025,16,IND,5.976483762597988,0.09931052236830297,0.46808510638297873,1.0950323606680568,0.37967914438502676,0.16831683168316833,6.774951076320935,11.376947040498447,4.908376963350785,2.5033112582781456,1.1333333333333333,59.53333333333333,19.066666666666666,5.4154639175257735,0.005661959367917403,0.4463917525773196,1.0780416697010498,0.3942307692307692,0.1346153846153846,6.341750841750845,11.187675070028014,3.9521276595744688,1.9935483870967743,64.66666666666667,14.8,-0.07774567245131656,4.476190476190476,21.615384615384617,0,0,0.9375,2,0.925,2.466666666666667,2.736842105263158,22.01111111111111,0,0,1,1.9333333333333333,1,2.2666666666666666,0.4,0.053763440860215055,1.7393483709273183,-0.39572649572649254,0,0,-0.0625,0.06666666666666665,-0.07499999999999996,0.20000000000000018,4.012499999999999,-0.25416666666666643,0.08157769601881945,0.009867256181126082,1.0874012077770867,1.0813203543602343,0.27939383547370195,0.24188568467290125,21.832232174170834,17.70854381859849,5.8871815380184005,5.453962245297208,5.328441170006503,3.4860479638532786,7,6,4,12,8,4,9,12,7,2,9,4,5,10,6,15,16,22,15,26,20,19,22,3,16,6,16,15,16,16,17,6,3,16,2,29,11,13,11.710526315789474,23.012277122956576,23.007449325891244,26.790149081715686,19.214762464493926,17.290899174251596,17.299631741354272,21.143082741622933,13.405901572642172,0.014778454096472812,0.016906298497539024,4.984966363752735,-4.903072230313173,5.724723883034511,0.9057886615385815,10.632032703845487,8,2,19,17
