week,games,mean_ae,mean_vegas_ae,mean_se,mean_vegas_se,RMSE,vegas_RMSE,straight_up_win_pct,vegas_straight_up_win_pct,ATS_win_pct,AE_ATS_win_pct
1,16,7.169818031861031,5.9375,89.07036131141503,71.9375,9.437709537351475,8.481597726843686,0.5,0.8125,0.4375,0.3125
2,16,9.94246652663686,8.1875,151.72705161525002,118.25,12.317753513333916,10.874281585465774,0.6875,0.6875,0.3125,0.1875
3,16,12.632788666574172,12.21875,240.66320615007612,265.765625,15.51332350433253,16.302319620225827,0.5625,0.75,0.625,0.4375
4,16,10.08324033400169,9.03125,158.08667309012094,130.078125,12.573252287698711,11.405179744309162,0.5625,0.6875,0.4375,0.4375
5,14,11.912763356888547,11.678571428571429,236.6484852887739,211.875,15.383383414865987,14.555926628009637,0.35714285714285715,0.35714285714285715,0.5,0.42857142857142855
6,15,7.595237251308315,7.7,88.31559926530072,86.18333333333334,9.39763796202539,9.283497903987124,0.5333333333333333,0.7333333333333333,0.5333333333333333,0.4666666666666667
7,15,12.64954155305206,11.5,214.60441061998117,179.25,14.649382602006856,13.388427838995884,0.6666666666666666,0.8,0.3333333333333333,0.3333333333333333
8,13,15.655263495333124,14.346153846153848,303.3116709334076,259.13461538461536,17.415845398182874,16.097658692636497,0.8461538461538461,0.8461538461538461,0.3076923076923077,0.3076923076923077
9,14,10.24703264954052,9.321428571428571,155.94072490358076,118.83928571428572,12.487622868407772,10.901343298616265,0.42857142857142855,0.5714285714285714,0.5,0.5
10,14,9.842106104261871,9.428571428571429,140.53384449699445,130.57142857142858,11.85469714910484,11.426785574754984,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5
11,15,9.596466164384346,7.5,158.89539474486088,127.11666666666666,12.605371662305751,11.274602727664805,0.5333333333333333,0.7333333333333333,0.3333333333333333,0.2
12,14,6.108576414247594,7.071428571428572,63.804194436762,90.92857142857142,7.98775277764416,9.535647404794885,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.42857142857142855
13,16,10.074637511401852,10.46875,141.6949054966303,145.171875,11.903566923264233,12.048729186100914,0.5625,0.5625,0.5,0.5
14,14,13.388569891788078,12.428571428571429,229.98397294784232,236.5,15.1652224826358,15.3785564992297,0.6428571428571429,0.5,0.35714285714285715,0.2857142857142857
15,16,10.262005956924888,10.25,161.2752860579386,143.53125,12.699420697730217,11.980452829505236,0.5,0.625,0.625,0.5625
16,16,12.656940628473071,10.625,259.8481607047321,159.46875,16.119806472310145,12.628093680362053,0.5625,0.625,0.375,0.375
17,16,9.8479154521356609,10.25,145.2949917135549,151.375,12.053837219473095,12.303454799364282,0.625,0.5625,0.625,0.5
18,16,8.620470703580757,7.9375,107.38919873444983,105.625,10.36287598760353,10.277402395547233,0.75,0.625,0.5625,0.5
