game_id,season,week,away_team,away_score,home_team,home_score,result,total,overtime,spread_line,Proj_Margin,abs_error,vegas_abs_error,sqd_error,vegas_sqd_error,straight_up_win,vegas_straight_up_win,ATS_win,AE_ATS_win
2025_03_ATL_CAR,2025,3,ATL,0,CAR,30,30,30,0,-5.5,-4.752791839281063,34.75279183928106,35.5,1207.7565406244005,1260.25,0,0,1,1
2025_03_GB_CLE,2025,3,GB,10,CLE,13,3,23,0,-8.5,-10.516388190509506,13.516388190509506,11.5,182.6927497165448,132.25,0,0,0,0
2025_03_HOU_JAX,2025,3,HOU,10,JAX,17,7,27,0,1.5,-4.102041998325841,11.10204199832584,5.5,123.25533653259085,30.25,0,1,0,0
2025_03_CIN_MIN,2025,3,CIN,10,MIN,48,38,58,0,3,11.19578830256592,26.80421169743408,35,718.465764720862,1225,1,1,1,1
2025_03_PIT_NE,2025,3,PIT,21,NE,14,-7,35,0,-1.5,3.897930096772986,10.897930096772988,5.5,118.76488039415048,30.25,0,1,0,0
2025_03_LA_PHI,2025,3,LA,26,PHI,33,7,59,0,3.5,1.115052276718051,5.8849477232819485,3.5,34.63260970576139,12.25,1,1,0,0
2025_03_NYJ_TB,2025,3,NYJ,27,TB,29,2,56,0,6.5,-5.749884568710135,7.749884568710135,4.5,60.06071082833147,20.25,0,1,1,0
2025_03_IND_TEN,2025,3,IND,41,TEN,20,-21,61,0,-6,-7.344971271423583,13.655028728576417,15,186.45980957824727,225,1,1,1,1
2025_03_LV_WAS,2025,3,LV,24,WAS,41,17,65,0,2.5,8.394207586454662,8.605792413545338,14.5,74.05966306503448,210.25,1,1,1,1
2025_03_DEN_LAC,2025,3,DEN,20,LAC,23,3,43,0,2.5,9.547954165548475,6.547954165548475,0.5,42.87570375412363,0.25,1,1,1,0
2025_03_NO_SEA,2025,3,NO,13,SEA,44,31,57,0,7.5,3.680568989120122,27.31943101087988,23.5,746.3513107582252,552.25,1,1,0,0
2025_03_DAL_CHI,2025,3,DAL,14,CHI,31,17,45,0,-1.5,4.436748879184396,12.563251120815604,18.5,157.83527872467454,342.25,1,0,1,1
2025_03_ARI_SF,2025,3,ARI,15,SF,16,1,31,0,1.5,-0.7449433817889064,1.7449433817889064,0.5,3.0448274056489053,0.25,0,1,1,0
2025_03_KC_NYG,2025,3,KC,22,NYG,9,-13,31,0,-6,-1.935050955896628,11.064949044103372,7,122.43309734860412,49,1,1,0,0
2025_03_DET_BAL,2025,3,DET,38,BAL,30,-8,68,0,4.5,0.33160525611601255,8.331605256116013,12.5,69.41564614373998,156.25,0,0,1,1
2025_04_SEA_ARI,2025,4,SEA,23,ARI,20,-3,43,0,-1.5,3.0831922604712094,6.083192260471209,1.5,37.00522807785682,2.25,0,1,0,0
2025_04_MIN_PIT,2025,4,MIN,21,PIT,24,3,45,0,-2.5,-1.0634994506688376,4.0634994506688376,5.5,16.512027785585946,30.25,0,0,1,1
2025_04_WAS_ATL,2025,4,WAS,27,ATL,34,7,61,0,2.5,2.594994647403727,4.405005352596273,4.5,19.404072156401817,20.25,1,1,1,1
2025_04_NO_BUF,2025,4,NO,19,BUF,31,12,50,0,15.5,11.508354772888564,0.49164522711143555,3.5,0.24171502934145503,12.25,1,1,1,1
2025_04_CLE_DET,2025,4,CLE,10,DET,34,24,44,0,10,10.916451681110392,13.083548318889608,14,171.1792366127191,196,1,1,1,1
2025_04_TEN_HOU,2025,4,TEN,0,HOU,26,26,26,0,7.5,3.413267170860412,22.58673282913959,18.5,510.16049989493206,342.25,1,1,0,0
2025_04_CAR_NE,2025,4,CAR,13,NE,42,29,55,0,5.5,3.999099709076454,25.000900290923543,23.5,625.045015356701,552.25,1,1,0,0
2025_04_LAC_NYG,2025,4,LAC,18,NYG,21,3,39,0,-6,-4.665256769315553,7.665256769315553,9,58.756161339537904,81,0,0,1,1
2025_04_PHI_TB,2025,4,PHI,31,TB,25,-6,56,0,-3.5,1.2229819748276745,7.222981974827675,2.5,52.171468608685494,6.25,0,1,0,0
2025_04_IND_LA,2025,4,IND,20,LA,27,7,47,0,3.5,-1.639564031164241,8.639564031164241,3.5,74.6420666485869,12.25,0,1,0,0
2025_04_JAX_SF,2025,4,JAX,26,SF,21,-5,47,0,3.5,3.7936047991403945,8.793604799140395,8.5,77.32748536346499,72.25,0,0,0,0
2025_04_BAL_KC,2025,4,BAL,20,KC,37,17,57,0,-2.5,1.0125170625622042,15.987482937437797,19.5,255.5996106748647,380.25,1,0,1,1
