game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_VoA_Rating,home_team,home_VoA_Rating,location,result,total,overtime,spread_line,total_line,div_game,temp,wind,stadium,Proj_Margin,proj_margin_abs,proj_winner,home_win_prob,win_prob
2025_18_CAR_TB,2025,REG,18,2026-01-03,Saturday,16:30,CAR,-4.056679948724085,TB,-1.3177104134975353,Home,NA,NA,NA,3,43.5,1,NA,NA,Raymond James Stadium,5.23896953522655,5.23896953522655,TB,0.6266748011633083,0.6266748011633083
2025_18_SEA_SF,2025,REG,18,2026-01-03,Saturday,20:00,SEA,10.76942870378468,SF,4.780742375661385,Home,NA,NA,NA,-1.5,47.5,1,NA,NA,Levi's Stadium,-3.488686328123295,3.488686328123295,SEA,0.414505742818601,0.585494257181399
2025_18_NO_ATL,2025,REG,18,2026-01-04,Sunday,13:00,NO,-3.956184742055667,ATL,-1.5218347889902697,Home,NA,NA,NA,3.5,44.5,1,NA,NA,Mercedes-Benz Stadium,4.934349953065397,4.934349953065397,ATL,0.6195805580747733,0.6195805580747733
2025_18_CLE_CIN,2025,REG,18,2026-01-04,Sunday,13:00,CLE,-1.9556514647887864,CIN,-0.10766896563609564,Home,NA,NA,NA,7.5,44.5,1,NA,NA,Paycor Stadium,4.347982499152691,4.347982499152691,CIN,0.6057904896998121,0.6057904896998121
2025_18_IND_HOU,2025,REG,18,2026-01-04,Sunday,13:00,IND,5.309588910755175,HOU,8.758157539772203,Home,NA,NA,NA,10.5,38.5,1,NA,NA,NRG Stadium,5.948568629017028,5.948568629017028,HOU,0.6429985972970402,0.6429985972970402
2025_18_TEN_JAX,2025,REG,18,2026-01-04,Sunday,13:00,TEN,-7.743259185190363,JAX,8.294319425920474,Home,NA,NA,NA,13.5,47.5,1,NA,NA,TIAA Bank Stadium,18.53757861111084,18.53757861111084,JAX,0.8658901584681453,0.8658901584681453
2025_18_GB_MIN,2025,REG,18,2026-01-04,Sunday,13:00,GB,2.6742495809426408,MIN,1.4709036487039544,Home,NA,NA,NA,7.5,35.5,1,NA,NA,U.S. Bank Stadium,1.2966540677613136,1.2966540677613136,MIN,0.531893539978494,0.531893539978494
2025_18_DAL_NYG,2025,REG,18,2026-01-04,Sunday,13:00,DAL,-0.05659985196779213,NYG,0.07277478599417908,Home,NA,NA,NA,-3.5,49.5,1,NA,NA,MetLife Stadium,2.629374637961971,2.629374637961971,NYG,0.5645197770498191,0.5645197770498191
2025_18_NYJ_BUF,2025,REG,18,2026-01-04,Sunday,16:25,NYJ,-8.811109443529844,BUF,6.863567853981669,Home,NA,NA,NA,6.5,37.5,1,NA,NA,New Era Field,18.174677297511515,18.174677297511515,BUF,0.8614112802161568,0.8614112802161568
2025_18_DET_CHI,2025,REG,18,2026-01-04,Sunday,16:25,DET,3.388731174919821,CHI,3.0177389726021735,Home,NA,NA,NA,3,50.5,1,NA,NA,Soldier Field,2.1290077976823527,2.1290077976823527,CHI,0.5523175842028103,0.5523175842028103
2025_18_LAC_DEN,2025,REG,18,2026-01-04,Sunday,16:25,LAC,5.881382953890539,DEN,6.683769123271904,Home,NA,NA,NA,12.5,37.5,1,NA,NA,Empower Field at Mile High,3.302386169381365,3.302386169381365,DEN,0.5808139589312407,0.5808139589312407
2025_18_ARI_LA,2025,REG,18,2026-01-04,Sunday,16:25,ARI,-3.997588230320949,LA,10.896217200280828,Home,NA,NA,NA,7.5,46.5,1,NA,NA,SoFi Stadium,17.393805430601777,17.393805430601777,LA,0.8513951173605806,0.8513951173605806
2025_18_KC_LV,2025,REG,18,2026-01-04,Sunday,16:25,KC,4.264407662993624,LV,-9.978103296651629,Home,NA,NA,NA,-5.5,36.5,1,NA,NA,Allegiant Stadium,-11.742510959645251,11.742510959645251,KC,0.2371315335810248,0.7628684664189752
2025_18_MIA_NE,2025,REG,18,2026-01-04,Sunday,16:25,MIA,-0.32197443742411025,NE,8.866966856137612,Home,NA,NA,NA,10.5,45.5,1,NA,NA,Gillette Stadium,11.688941293561722,11.688941293561722,NE,0.7617392358076525,0.7617392358076525
2025_18_WAS_PHI,2025,REG,18,2026-01-04,Sunday,16:25,WAS,-6.465174177322271,PHI,1.6065181465282816,Home,NA,NA,NA,4.5,38.5,1,NA,NA,Lincoln Financial Field,10.571692323850552,10.571692323850552,PHI,0.7407377784357898,0.7407377784357898
2025_18_BAL_PIT,2025,REG,18,2026-01-04,Sunday,20:20,BAL,0.6275287762799314,PIT,-0.5085510162166746,Home,NA,NA,NA,-3.5,40.5,1,NA,NA,Acrisure Stadium,1.3639202075033938,1.3639202075033938,PIT,0.5335487355477472,0.5335487355477472
