game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_VoA_Rating,home_team,home_VoA_Rating,location,result,total,overtime,spread_line,total_line,div_game,temp,wind,stadium,Proj_Margin,proj_margin_abs,proj_winner,home_win_prob,win_prob
2025_12_BUF_HOU,2025,REG,12,2025-11-20,Thursday,20:15,BUF,7.468807506520152,HOU,8.43019125381444,Home,NA,NA,NA,-6,43.5,0,NA,NA,NRG Stadium,3.4613837472942883,3.4613837472942883,HOU,0.5846405213981327,0.5846405213981327
2025_12_NYJ_BAL,2025,REG,12,2025-11-23,Sunday,13:00,NYJ,-6.769981569451351,BAL,1.4974542118817884,Home,NA,NA,NA,13.5,44.5,0,NA,NA,M&T Bank Stadium,10.76743578133314,10.76743578133314,BAL,0.7444966533988875,0.7444966533988875
2025_12_PIT_CHI,2025,REG,12,2025-11-23,Sunday,13:00,PIT,-0.6597097635528383,CHI,0.7985704772343452,Home,NA,NA,NA,3,44.5,0,NA,NA,Soldier Field,3.9582802407871833,3.9582802407871833,CHI,0.5965353797219668,0.5965353797219668
2025_12_NE_CIN,2025,REG,12,2025-11-23,Sunday,13:00,NE,8.686736648542267,CIN,-4.794201756113768,Home,NA,NA,NA,-8.5,50.5,0,NA,NA,Paycor Stadium,-10.980938404656035,10.980938404656035,NE,0.251285957817978,0.748714042182022
2025_12_NYG_DET,2025,REG,12,2025-11-23,Sunday,13:00,NYG,-1.4026145659169342,DET,7.926878956517455,Home,NA,NA,NA,10,50.5,0,NA,NA,Ford Field,11.82949352243439,11.82949352243439,DET,0.7643027097053285,0.7643027097053285
2025_12_MIN_GB,2025,REG,12,2025-11-23,Sunday,13:00,MIN,0.8173819434220052,GB,4.406554177174647,Home,NA,NA,NA,6.5,40.5,1,NA,NA,Lambeau Field,6.089172233752642,6.089172233752642,GB,0.6461975833823974,0.6461975833823974
2025_12_IND_KC,2025,REG,12,2025-11-23,Sunday,13:00,IND,12.178210488145227,KC,11.719610558101325,Home,NA,NA,NA,3.5,50.5,0,NA,NA,GEHA Field at Arrowhead Stadium,2.0414000699560972,2.0414000699560972,KC,0.5501745923105308,0.5501745923105308
2025_12_SEA_TEN,2025,REG,12,2025-11-23,Sunday,13:00,SEA,9.144960558070457,TEN,-9.0309408583463,Home,NA,NA,NA,-13.5,40.5,0,NA,NA,Nissan Stadium,-15.675901416416757,15.675901416416757,SEA,0.17239018203884127,0.8276098179611587
2025_12_JAX_ARI,2025,REG,12,2025-11-23,Sunday,16:05,JAX,2.924527453844453,ARI,0.4347468279670139,Home,NA,NA,NA,-2.5,47.5,0,NA,NA,State Farm Stadium,0.010219374122560687,0.010219374122560687,ARI,0.5001508808877266,0.5001508808877266
2025_12_CLE_LV,2025,REG,12,2025-11-23,Sunday,16:05,CLE,-2.3366762908226866,LV,-8.803221314416284,Home,NA,NA,NA,3,36.5,0,NA,NA,Allegiant Stadium,-3.9665450235935973,3.9665450235935973,CLE,0.4030716359928137,0.5969283640071863
2025_12_PHI_DAL,2025,REG,12,2025-11-23,Sunday,16:25,PHI,2.494440618474765,DAL,1.0719614588489896,Home,NA,NA,NA,-3,47.5,1,NA,NA,AT&T Stadium,1.0775208403742247,1.0775208403742247,DAL,0.5264969742461912,0.5264969742461912
2025_12_ATL_NO,2025,REG,12,2025-11-23,Sunday,16:25,ATL,-3.1818720822685984,NO,-5.172501625865785,Home,NA,NA,NA,1.5,39.5,1,NA,NA,Mercedes-Benz Superdome,0.509370456402813,0.509370456402813,NO,0.512480850481277,0.512480850481277
2025_12_TB_LA,2025,REG,12,2025-11-23,Sunday,20:20,TB,2.5096348358552856,LA,10.136693456800831,Home,NA,NA,NA,6.5,49.5,0,NA,NA,SoFi Stadium,10.127058620945546,10.127058620945546,LA,0.7320762115768333,0.7320762115768333
2025_12_CAR_SF,2025,REG,12,2025-11-24,Monday,20:15,CAR,-1.682445531029385,SF,2.731171767074505,Home,NA,NA,NA,7,48.5,0,NA,NA,Levi's Stadium,6.91361729810389,6.91361729810389,SF,0.6647012272267725,0.6647012272267725
