game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_VoA_Rating,home_team,home_VoA_Rating,location,result,total,overtime,spread_line,total_line,div_game,temp,wind,stadium,Proj_Margin,proj_margin_abs,proj_winner,home_win_prob,win_prob
2025_05_SF_LA,2025,REG,5,2025-10-02,Thursday,20:15,SF,1.7605919057522528,LA,2.689397248281346,Home,NA,NA,NA,8.5,44.5,1,NA,NA,SoFi Stadium,3.4288053425290936,3.4288053425290936,LA,0.5838572335072052,0.5838572335072052
2025_05_MIN_CLE,2025,REG,5,2025-10-05,Sunday,09:30,MIN,5.172688246531388,CLE,-1.340521054654595,Neutral,NA,NA,NA,-4.5,36.5,0,NA,NA,FirstEnergy Stadium,-6.513209301185983,6.513209301185983,MIN,0.34404547774445937,0.6559545222555406
2025_05_HOU_BAL,2025,REG,5,2025-10-05,Sunday,13:00,HOU,3.8386607358598175,BAL,3.5457349268786595,Home,NA,NA,NA,-1.5,40.5,0,NA,NA,M&T Bank Stadium,2.207074191018842,2.207074191018842,BAL,0.554225638806461,0.554225638806461
2025_05_MIA_CAR,2025,REG,5,2025-10-05,Sunday,13:00,MIA,2.2343915654826945,CAR,-2.3542162635092545,Home,NA,NA,NA,-1.5,45.5,0,NA,NA,Bank of America Stadium,-2.088607828991949,2.088607828991949,MIA,0.44846924460002713,0.5515307553999729
2025_05_LV_IND,2025,REG,5,2025-10-05,Sunday,13:00,LV,-0.7732950558084898,IND,4.141167156642815,Home,NA,NA,NA,6.5,47.5,0,NA,NA,Lucas Oil Stadium,7.414462212451305,7.414462212451305,IND,0.6757181457465664,0.6757181457465664
2025_05_NYG_NO,2025,REG,5,2025-10-05,Sunday,13:00,NYG,0.6523472455039376,NO,0.1596355311943818,Home,NA,NA,NA,1.5,42.5,0,NA,NA,Mercedes-Benz Superdome,2.0072882856904446,2.0072882856904446,NO,0.5493396957399554,0.5493396957399554
2025_05_DAL_NYJ,2025,REG,5,2025-10-05,Sunday,13:00,DAL,-0.4643603031845117,NYJ,0.859065010433884,Home,NA,NA,NA,-2.5,47.5,0,NA,NA,MetLife Stadium,3.823425313618396,3.823425313618396,NYJ,0.5933171739885071,0.5933171739885071
2025_05_DEN_PHI,2025,REG,5,2025-10-05,Sunday,13:00,DEN,4.064214904745472,PHI,5.703635567047408,Home,NA,NA,NA,3.5,43.5,0,NA,NA,Lincoln Financial Field,4.139420662301936,4.139420662301936,PHI,0.6008457949463099,0.6008457949463099
2025_05_TEN_ARI,2025,REG,5,2025-10-05,Sunday,16:05,TEN,-2.040871612231962,ARI,2.47663466658792,Home,NA,NA,NA,7.5,42.5,0,NA,NA,State Farm Stadium,7.017506278819882,7.017506278819882,ARI,0.6670008066006299,0.6670008066006299
2025_05_TB_SEA,2025,REG,5,2025-10-05,Sunday,16:05,TB,5.333774895374773,SEA,2.785641853219767,Home,NA,NA,NA,3.5,44.5,0,NA,NA,Lumen Field,-0.04813304215500569,0.04813304215500569,TB,0.4987091824903145,0.5012908175096855
2025_05_DET_CIN,2025,REG,5,2025-10-05,Sunday,16:25,DET,9.122863684450651,CIN,-0.31369831433233597,Home,NA,NA,NA,-10.5,49.5,0,NA,NA,Paycor Stadium,-6.936561998782987,6.936561998782987,DET,0.33460805427780327,0.6653919457221967
2025_05_WAS_LAC,2025,REG,5,2025-10-05,Sunday,16:25,WAS,4.519162549029353,LAC,6.345986593065955,Home,NA,NA,NA,2.5,47.5,0,NA,NA,SoFi Stadium,4.326824044036602,4.326824044036602,LAC,0.6052897672138072,0.6052897672138072
2025_05_NE_BUF,2025,REG,5,2025-10-05,Sunday,20:20,NE,2.1366040032102567,BUF,7.804397876139837,Home,NA,NA,NA,8.5,49.5,1,NA,NA,New Era Field,8.16779387292958,8.16779387292958,BUF,0.691947822703096,0.691947822703096
2025_05_KC_JAX,2025,REG,5,2025-10-06,Monday,20:15,KC,4.848326348734372,JAX,1.875860648647214,Home,NA,NA,NA,-3.5,46.5,0,NA,NA,TIAA Bank Stadium,-0.4724657000871586,0.4724657000871586,KC,0.4882273391267069,0.5117726608732931
