week,games,mean_ae,mean_vegas_ae,mean_se,mean_vegas_se,RMSE,vegas_RMSE,straight_up_win_pct,vegas_straight_up_win_pct,ATS_win_pct,AE_ATS_win_pct
1,16,8.362860234639653,9,110.9067276316162,163.90625,10.531226311860182,12.802587629069366,0.8125,0.8125,0.5625,0.4375
2,16,11.617830957307683,11.09375,249.56906422831923,220.453125,15.797755037609592,14.84766395767361,0.5625,0.4375,0.4375,0.375
3,16,17.271250361004526,13.40625,377.8729596903962,268.921875,19.438954696443847,16.3988376112455,0.4375,0.5,0.25,0.1875
4,16,10.434722198022785,9.125,223.7494371489418,164.03125,14.95825648760382,12.80746852426349,0.5625,0.5625,0.5,0.375
5,14,9.220224582065017,7.5,138.3551694169739,101.82142857142856,11.762447424621028,10.090660462597508,0.5714285714285714,0.7857142857142857,0.5,0.35714285714285715
6,14,13.206489026165467,11.571428571428571,288.53671559346174,214.75,16.986368522832116,14.654350889752845,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.2857142857142857
7,15,12.108397810645908,11.266666666666667,221.0715950588788,207.23333333333332,14.868476554740866,14.395601179990134,0.6,0.6666666666666666,0.4666666666666667,0.4666666666666667
8,16,10.629883813044817,8.15625,158.4708757850311,129.984375,12.588521588535768,11.401069028823567,0.5625,0.6875,0.375,0.1875
9,15,9.774048613579827,6.933333333333334,141.43103824640696,89.46666666666665,11.89247822139721,9.45868207873944,0.6666666666666666,0.9333333333333332,0.3333333333333333,0.26666666666666666
10,14,8.880320454561152,8.857142857142858,142.56527010960596,143.75,11.940069937383363,11.989578808281799,0.7142857142857143,0.5714285714285714,0.5,0.42857142857142855
