week,mean_ae,mean_vegas_ae,mean_se,mean_vegas_se,RMSE,vegas_RMSE,straight_up_win_pct,ATS_win_pct,AE_ATS_win_pct
1,8.362860234639653,9,110.9067276316162,163.90625,10.531226311860182,12.802587629069366,0.8125,0.5625,0.4375
2,11.617830957307683,11.09375,249.56906422831923,220.453125,15.797755037609592,14.84766395767361,0.5625,0.4375,0.375
3,17.271250361004526,13.40625,377.8729596903962,268.921875,19.438954696443847,16.3988376112455,0.4375,0.25,0.1875
4,10.434722198022783,9.125,223.7494371489418,164.03125,14.95825648760382,12.80746852426349,0.5625,0.5,0.375
