game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_VoA_Rating,home_team,home_VoA_Rating,location,result,total,overtime,spread_line,total_line,div_game,temp,wind,stadium,proj_margin,proj_margin_abs,proj_winner,home_win_prob,win_prob
2024_01_BAL_KC,2024,REG,1,2024-09-05,Thursday,20:20,BAL,10.687600843388612,KC,9.707063929368216,Home,7,47,0,3,46,0,67,8,GEHA Field at Arrowhead Stadium,1.5194630859796039,1.5194630859796039,KC,0.5366419966808047,0.5366419966808047
2024_01_GB_PHI,2024,REG,1,2024-09-06,Friday,20:15,GB,0.5064172348671546,PHI,2.033821607633396,Neutral,5,63,0,2,49.5,0,NA,NA,Arena Corinthians,1.5274043727662416,1.5274043727662416,PHI,0.5368316576101382,0.5368316576101382
2024_01_PIT_ATL,2024,REG,1,2024-09-08,Sunday,13:00,PIT,-3.658084525095188,ATL,-3.870100025162499,Home,-8,28,0,4,43,0,NA,NA,Mercedes-Benz Stadium,2.287984499932689,2.287984499932689,ATL,0.5549411998135205,0.5549411998135205
2024_01_ARI_BUF,2024,REG,1,2024-09-08,Sunday,13:00,ARI,-7.832432478165083,BUF,9.574109671109408,Home,6,62,0,6.5,46,0,61,20,New Era Field,19.906542149274493,19.906542149274493,BUF,0.8740213521856626,0.8740213521856626
2024_01_TEN_CHI,2024,REG,1,2024-09-08,Sunday,13:00,TEN,-6.120242792385634,CHI,-2.151740860602009,Home,7,41,0,4,43,0,67,8,Soldier Field,6.468501931783624,6.468501931783624,CHI,0.6508531887038242,0.6508531887038242
2024_01_NE_CIN,2024,REG,1,2024-09-08,Sunday,13:00,NE,-4.8379208910684826,CIN,1.5929105296386503,Home,-6,26,0,8,40.5,0,66,5,Paycor Stadium,8.930831420707133,8.930831420707133,CIN,0.7027511859547246,0.7027511859547246
2024_01_HOU_IND,2024,REG,1,2024-09-08,Sunday,13:00,HOU,-1.0532631854792496,IND,-2.8919152164292017,Home,-2,56,0,-3,49,1,NA,NA,Lucas Oil Stadium,0.6613479690500479,0.6613479690500479,IND,0.5160984887195692,0.5160984887195692
2024_01_JAX_MIA,2024,REG,1,2024-09-08,Sunday,13:00,JAX,-0.05660594751215569,MIA,4.814789933685271,Home,3,37,0,3.5,49.5,0,91,10,Hard Rock Stadium,7.371395881197427,7.371395881197427,MIA,0.6703661189048054,0.6703661189048054
2024_01_CAR_NO,2024,REG,1,2024-09-08,Sunday,13:00,CAR,-7.05977098045488,NO,3.388132805625488,Home,37,57,0,3.5,41.5,1,NA,NA,Mercedes-Benz Superdome,12.947903786080367,12.947903786080367,NO,0.7773525513059447,0.7773525513059447
2024_01_MIN_NYG,2024,REG,1,2024-09-08,Sunday,13:00,MIN,-0.5796706150024595,NYG,-7.434847655614753,Home,-22,34,0,-1,42.5,0,64,10,MetLife Stadium,-4.355177040612293,4.355177040612293,MIN,0.39710502072881104,0.602894979271189
2024_01_LV_LAC,2024,REG,1,2024-09-08,Sunday,16:05,LV,-1.28792938509092,LAC,-0.8764392288219757,Home,12,32,0,3,41,1,NA,NA,SoFi Stadium,2.911490156268944,2.911490156268944,LAC,0.569684723764796,0.569684723764796
2024_01_DEN_SEA,2024,REG,1,2024-09-08,Sunday,16:05,DEN,-3.1899319144869063,SEA,-1.1323905448604448,Home,6,46,0,6.5,42,0,65,7,Lumen Field,4.5575413696264615,4.5575413696264615,SEA,0.6079776110134087,0.6079776110134087
2024_01_DAL_CLE,2024,REG,1,2024-09-08,Sunday,16:25,DAL,9.032952439847238,CLE,2.0559537004841135,Home,-16,50,0,2.5,42,0,69,17,FirstEnergy Stadium,-4.476998739363124,4.476998739363124,DAL,0.394303219648225,0.605696780351775
2024_01_WAS_TB,2024,REG,1,2024-09-08,Sunday,16:25,WAS,-8.774992548026372,TB,0.8911593139882305,Home,17,57,0,4,42,0,93,6,Raymond James Stadium,12.166151862014603,12.166151862014603,TB,0.7638967336649553,0.7638967336649553
2024_01_LA_DET,2024,REG,1,2024-09-08,Sunday,20:20,LA,1.7813509917189412,DET,2.3937154019488345,Home,6,46,1,5,54,0,NA,NA,Ford Field,3.112364410229893,3.112364410229893,DET,0.5744105860089337,0.5744105860089337
2024_01_NYJ_SF,2024,REG,1,2024-09-09,Monday,20:15,NYJ,-6.325493084615975,SF,10.865165504181844,Home,13,51,0,3.5,43,0,76,10,Levi's Stadium,19.69065858879782,19.69065858879782,SF,0.8716212997174444,0.8716212997174444
