team,week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
TEN,0,17.25,27,-6.120242792385634
LV,0,18.03125,20,-1.28792938509092
LA,0,16.125,11,1.7813509917189412
KC,0,8.90625,3,9.707063929368216
TB,0,14.15625,13,0.8911593139882305
NYG,0,20.71875,30,-7.434847655614753
NO,0,12.78125,7,3.388132805625488
HOU,0,15.75,18,-1.0532631854792496
WAS,0,23.4375,32,-8.774992548026372
NE,0,18.625,26,-4.8379208910684826
CIN,0,15.6875,12,1.5929105296386503
CAR,0,21.75,29,-7.05977098045488
ATL,0,17.15625,25,-3.870100025162499
BUF,0,9.625,4,9.574109671109408
IND,0,18.28125,22,-2.8919152164292017
DET,0,15.5,8,2.3937154019488345
MIA,0,12.46875,6,4.814789933685271
CHI,0,17.5,21,-2.151740860602009
LAC,0,18.09375,17,-0.8764392288219757
JAX,0,16.4375,15,-0.05660594751215569
GB,0,14.78125,14,0.5064172348671546
CLE,0,16.34375,9,2.0559537004841135
BAL,0,8.09375,2,10.687600843388612
PIT,0,16.78125,24,-3.658084525095188
ARI,0,22.5,31,-7.832432478165083
NYJ,0,17.5625,28,-6.325493084615975
PHI,0,14.59375,10,2.033821607633396
SEA,0,16.90625,19,-1.1323905448604448
SF,0,7.34375,1,10.865165504181844
DEN,0,18.40625,23,-3.1899319144869063
DAL,0,10.4375,5,9.032952439847238
MIN,0,16.71875,16,-0.5796706150024595
BUF,1,12.375,6,8.008674131282051
KC,1,11.59375,4,9.510435615987337
NO,1,7.8125,2,16.853159158385104
CLE,1,17.0625,23,-3.141806200341721
SEA,1,13.25,11,3.252956966186901
PHI,1,16.9375,18,-0.2047557372211445
IND,1,15.71875,22,-2.8796858668433436
MIA,1,11.625,8,4.528554876594177
DET,1,13.875,9,3.850735078050517
LAC,1,13.21875,7,4.938779424291587
NYG,1,22.65625,29,-10.561014960736191
CIN,1,16.71875,24,-5.055104357299241
SF,1,10.0625,1,17.743850009820736
ATL,1,16.78125,25,-5.934336206283355
CHI,1,16.5,21,-1.2190046900395952
TB,1,12.3125,5,9.337054057459596
ARI,1,20.25,28,-9.583877359587111
BAL,1,13,10,3.4309216913378378
CAR,1,25.75,32,-19.819850043214252
DAL,1,12.15625,3,11.812240777946595
DEN,1,19.59375,26,-6.306519042836604
GB,1,14.8125,16,-0.13241007592957982
HOU,1,16.4375,14,1.7079993102481783
JAX,1,18.5,19,-0.6936869793760005
LA,1,18.03125,17,-0.1562759459701543
LV,1,19.09375,27,-8.316355161363422
MIN,1,11.625,12,2.9822094512372477
NE,1,16.96875,20,-0.8152158874064579
NYJ,1,18.5625,30,-12.683400715674363
PIT,1,15.15625,13,2.0150659626612635
TEN,1,15.3125,15,0.958341772930885
WAS,1,22.125,31,-15.954833033171752
BUF,2,9.96875,3,8.395611519259843
KC,2,12.5,7,5.835485639878374
NO,2,8.25,1,15.48761144808563
CLE,2,17.15625,18,-0.9327529810182164
SEA,2,14.4375,14,1.5244830751340328
PHI,2,17.875,20,-2.241537249088877
IND,2,16.59375,27,-4.741636728573846
MIA,2,14.375,13,1.843544944286696
DET,2,13.84375,11,2.5086683991853582
LAC,2,12.21875,4,7.646876579438064
NYG,2,22.5,31,-11.620709279580272
CIN,2,16.625,16,0.07401176640892337
SF,2,10.8125,2,9.88042111285759
ATL,2,16.9375,25,-4.402996899387778
CHI,2,17.34375,21,-2.31013563886505
TB,2,13.5,5,6.692746154353031
HOU,2,13.28125,9,4.328561900329198
JAX,2,17.5625,19,-1.7437930475833543
GB,2,14.5,15,1.261301722283748
CAR,2,25.34375,32,-18.452881633465708
ARI,2,17.15625,17,-0.656214138813187
BAL,2,10.59375,6,6.1834575497273985
DAL,2,14.0625,8,5.822238749947714
WAS,2,21.34375,30,-9.98288958598627
TEN,2,16.1875,23,-3.943181382454463
DEN,2,19.15625,26,-4.446529524724569
NE,2,18.625,22,-2.694489610086155
MIN,2,11.875,10,3.5617960701483593
LA,2,20.59375,28,-6.268073216372226
LV,2,18.8125,24,-4.011560942460078
NYJ,2,17.78125,29,-6.7004170876214815
PIT,2,14.3125,12,2.4017176472945905
BUF,3,8.4375,1,12.88832474425472
NO,3,10.75,2,9.940148301034885
BAL,3,9.78125,3,7.981497168965915
SF,3,11.46875,4,7.687132994877422
KC,3,11.90625,5,7.578994283967613
MIN,3,11,6,5.5926094159838575
DAL,3,15.375,7,5.286892273392206
SEA,3,12.8125,8,3.839134379575589
GB,3,12,9,3.3790075829273327
DET,3,13.3125,10,2.96666705265584
LAC,3,14.59375,11,2.951193571099627
PIT,3,13.5,12,2.3394579906516113
MIA,3,14.25,13,1.2376926462916509
TB,3,15.125,14,0.3672525709864839
HOU,3,14.65625,15,0.34871206364835605
DEN,3,16.625,16,0.12515101921604366
CLE,3,18,17,-0.0674719456324363
CIN,3,16.59375,18,-0.6619244834735079
CHI,3,17.0625,19,-1.5747778436863316
PHI,3,16.75,20,-2.215300402066075
NYJ,3,15.25,21,-2.6479373770036645
IND,3,15.375,22,-2.7557269023743833
ARI,3,17.90625,23,-3.2342140824538834
LA,3,19.03125,24,-3.4365512127957296
ATL,3,15.84375,25,-3.8278053123425577
NE,3,20.59375,26,-5.9779334582014965
TEN,3,18.0625,27,-6.199860007404193
LV,3,20,28,-6.780064812030506
JAX,3,20.46875,29,-7.0467987949187645
NYG,3,20.21875,30,-8.602134399090538
WAS,3,20.125,31,-9.282285422518898
CAR,3,23.6875,32,-12.10767337754466
BAL,4,8.15625,1,10.978512381765189
SF,4,9.375,2,10.057522917215522
NO,4,11.1875,3,8.658429759983969
BUF,4,10.4375,4,8.370580532797952
KC,4,10.5625,5,7.912309510126839
DAL,4,14,6,5.762495918914757
MIN,4,11.21875,7,4.609419374845602
DET,4,13.28125,8,3.811127167772644
TB,4,14.53125,9,2.457472318211422
GB,4,13.625,10,1.7151404281748257
HOU,4,13.6875,11,1.6330074151261678
